,age_min,age_max,wife_ed_min,wife_ed_max,husb_ed_min,husb_ed_max,no_kids_min,no_kids_max,wife_rel_min,wife_rel_max,wife_works_min,wife_works_max,husb_occupation_min,husb_occupation_max,SOL_index_min,SOL_index_max,media_exp_min,media_exp_max,class
0,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,3,4,0.0,0.0,1
1,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,3,4,0.0,0.0,1
2,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,3,4,0.0,0.0,1
3,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,3,4,0.0,0.0,1
4,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,1,2,0.0,0.0,1
5,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,3,4,0.0,0.0,1
6,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,1,2,0.0,0.0,1
7,16,49,1,4,1,4,0,16,0,1,0.0,0.0,3,4,1,2,0.0,0.0,1
8,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,3,4,0.0,0.0,1
9,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,1,2,1.0,1.0,1
10,16,49,1,4,1,4,0,16,0,1,0.0,0.0,3,4,3,4,1.0,1.0,1
11,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,3,4,0.0,0.0,1
12,16,49,1,4,1,4,0,16,0,1,0.0,0.0,1,2,3,4,0.0,0.0,1
13,16,49,1,4,1,4,0,16,0,1,0.0,0.0,3,4,3,4,0.0,0.0,1
14,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,3,4,0.0,0.0,1
15,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,1,2,0.0,0.0,1
16,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,3,4,0.0,0.0,1
17,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,3,4,0.0,0.0,1
18,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,3,4,0.0,0.0,1
19,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,1,2,1.0,1.0,1
20,16,49,1,4,1,4,0,16,0,1,0.0,0.0,3,4,1,2,0.0,0.0,1
21,16,49,1,4,1,4,0,16,0,1,0.0,0.0,3,4,1,2,0.0,0.0,1
22,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,3,4,0.0,0.0,1
23,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,3,4,0.0,0.0,1
24,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,3,4,0.0,0.0,1
25,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,3,4,0.0,0.0,1
26,16,49,1,4,1,4,0,16,0,1,0.0,0.0,1,2,3,4,0.0,0.0,1
27,16,49,1,4,1,4,0,16,0,1,0.0,0.0,1,2,3,4,0.0,0.0,1
28,16,49,1,4,1,4,0,16,0,1,0.0,0.0,1,2,1,2,0.0,0.0,1
29,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,3,4,0.0,0.0,1
30,16,49,1,4,1,4,0,16,0,1,1.0,1.0,1,2,3,4,0.0,0.0,1
31,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,1,2,0.0,0.0,1
32,16,49,1,4,1,4,0,16,0,1,0.0,0.0,1,2,1,2,0.0,0.0,1
33,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,1,2,0.0,0.0,1
34,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,3,4,0.0,0.0,1
35,16,49,1,4,1,4,0,16,0,1,1.0,1.0,3,4,1,2,1.0,1.0,1
36,16,49,1,4,1,4,0,16,0,1,0.0,0.0,3,4,1,2,0.0,0.0,1
