,age_min,age_max,wife_ed_min,wife_ed_max,husb_ed_min,husb_ed_max,no_kids_min,no_kids_max,wife_rel_min,wife_rel_max,wife_works_min,wife_works_max,husb_occupation_min,husb_occupation_max,SOL_index_min,SOL_index_max,media_exp_min,media_exp_max,class
0,24.0,24.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
1,45.0,45.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
2,43.0,43.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
3,42.0,42.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
4,36.0,36.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
5,19.0,19.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
6,38.0,38.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
7,21.0,21.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
8,27.0,27.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
9,45.0,45.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
10,38.0,38.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
11,42.0,42.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
12,44.0,44.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
13,42.0,42.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
14,38.0,38.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
15,26.0,26.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
16,48.0,48.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
17,39.0,39.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
18,37.0,37.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
19,39.0,39.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
20,26.0,26.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
21,24.0,24.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
22,46.0,46.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
23,39.0,39.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
24,48.0,48.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
25,40.0,40.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
26,38.0,38.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
27,29.0,29.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
28,24.0,24.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
29,43.0,43.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
30,31.0,31.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
31,31.0,31.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
32,26.0,26.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
33,33.0,33.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
34,24.0,24.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
35,42.0,42.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
36,43.0,43.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
37,25.0,25.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
38,42.0,42.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
39,28.0,28.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
40,28.0,28.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
41,47.0,47.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
42,48.0,48.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
43,40.0,40.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
44,28.0,28.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
45,25.0,25.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
46,32.0,32.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
47,45.0,45.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
48,26.0,26.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
49,26.0,26.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
50,31.0,31.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
51,49.0,49.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
52,40.0,40.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
53,34.0,34.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
54,36.0,36.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
55,20.0,20.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
56,43.0,43.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
57,37.0,37.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
58,21.0,21.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
59,49.0,49.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
60,42.0,42.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
61,20.0,20.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
62,47.0,47.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
63,22.0,22.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
64,27.0,27.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
65,24.0,24.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
66,44.0,44.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
67,30.0,30.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
68,23.0,23.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
69,25.0,25.0,1,4,1,4,0,16,0,1,0,1,3,4,1,4,0,1,1
70,47.0,47.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
71,48.0,48.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
72,29.0,29.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
73,29.0,29.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
74,21.0,21.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
75,21.0,21.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
76,29.0,29.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
77,45.0,45.0,1,4,1,4,0,16,0,1,0,1,1,2,1,4,0,1,1
