,age_min,age_max,wife_ed_min,wife_ed_max,husb_ed_min,husb_ed_max,no_kids_min,no_kids_max,wife_rel_min,wife_rel_max,wife_works_min,wife_works_max,husb_occupation_min,husb_occupation_max,SOL_index_min,SOL_index_max,media_exp_min,media_exp_max,class
0,16,25,1,2,3,3,3,4,0,1,0,1,1,3,3,3,0,0,1
1,33,49,1,1,1,3,8,16,0,1,0,1,3,4,4,4,0,1,1
2,43,49,1,2,3,3,6,7,0,1,0,1,1,4,4,4,0,1,1
3,33,49,3,3,1,3,9,16,0,1,0,1,1,4,1,3,0,0,1
4,33,37,3,3,1,3,6,8,0,1,0,1,3,4,1,3,0,0,1
5,16,22,4,4,1,4,0,2,0,1,0,1,3,4,3,3,0,1,1
6,37,49,1,2,3,3,6,8,0,1,0,1,1,4,1,2,0,0,1
7,16,21,3,3,1,3,0,2,0,1,0,1,3,3,1,2,0,0,1
8,16,27,1,2,3,3,3,4,0,1,0,1,1,3,4,4,0,1,1
9,33,45,1,3,1,3,8,16,0,1,0,1,1,2,1,3,1,1,1
10,33,49,1,1,3,3,0,5,0,1,0,1,3,4,1,3,1,1,1
11,40,44,1,3,4,4,0,4,0,1,0,1,1,1,1,3,0,1,1
12,44,45,4,4,1,4,0,3,0,1,0,1,1,1,1,4,0,1,1
13,40,43,1,3,4,4,0,4,1,1,0,1,3,4,1,4,0,0,1
14,38,39,1,3,4,4,0,3,0,1,0,1,1,2,1,3,0,1,1
15,16,32,1,3,4,4,0,2,0,1,0,1,4,4,1,2,0,1,1
16,40,49,1,2,1,2,6,7,0,1,0,1,1,4,4,4,0,1,1
17,33,39,1,2,1,2,6,7,0,1,0,1,1,4,4,4,0,1,1
18,33,49,1,2,1,2,6,8,0,1,0,1,1,2,3,3,0,0,1
19,33,49,2,3,1,3,0,5,0,1,0,1,1,2,1,3,1,1,1
20,16,32,1,3,4,4,0,2,0,1,0,1,4,4,1,2,0,1,1
21,24,24,1,3,4,4,0,1,0,1,0,1,1,3,1,3,0,0,1
22,46,47,4,4,1,4,0,4,0,1,0,1,1,1,1,4,0,1,1
23,38,39,4,4,1,4,0,2,0,1,1,1,1,1,1,4,0,1,1
24,48,49,4,4,1,4,5,6,0,1,0,1,1,1,1,4,0,1,1
25,33,42,1,3,4,4,8,16,0,1,0,1,3,4,1,3,0,1,1
26,38,39,4,4,1,4,0,2,0,1,0,0,1,1,1,4,0,1,1
27,28,29,4,4,1,4,0,1,0,1,0,0,1,1,1,4,0,1,1
28,23,25,4,4,1,4,0,2,0,1,0,1,2,2,1,3,0,1,1
29,33,49,1,3,1,3,8,8,0,1,0,1,1,2,4,4,0,1,1
30,30,32,1,3,4,4,0,2,0,1,0,1,1,1,4,4,0,1,1
31,26,32,4,4,1,4,0,2,0,1,0,1,3,4,1,3,0,1,1
32,25,27,1,2,4,4,0,2,0,1,0,1,1,1,1,3,0,0,1
33,33,36,1,2,1,2,0,5,0,1,1,1,3,4,1,3,0,0,1
34,23,25,1,3,3,3,0,2,0,1,0,1,1,3,3,3,0,0,1
35,33,49,1,3,1,3,8,16,0,1,0,1,3,4,1,2,1,1,1
36,33,49,1,2,1,2,8,8,0,1,0,1,3,4,1,3,0,0,1
37,16,27,3,3,1,3,3,4,0,1,0,1,3,3,1,2,0,0,1
38,37,49,1,2,1,2,0,5,0,1,0,1,3,4,4,4,0,1,1
39,26,32,1,2,1,3,0,2,0,1,0,1,1,3,4,4,0,0,1
40,27,32,1,2,1,3,3,4,0,1,0,1,1,3,1,2,0,0,1
41,44,49,2,2,1,3,0,5,0,1,0,1,1,2,1,3,0,0,1
42,45,49,1,3,4,4,0,4,0,1,0,1,1,1,1,3,0,1,1
43,40,42,4,4,1,4,0,3,0,1,1,1,1,1,1,4,0,1,1
44,23,32,1,2,1,3,0,2,0,1,0,1,1,3,2,2,0,0,1
45,25,25,1,3,4,4,0,2,0,1,0,1,2,2,1,2,0,0,1
46,26,32,4,4,1,4,0,2,0,1,1,1,2,2,1,4,0,1,1
47,43,49,4,4,1,4,0,4,1,1,0,1,2,2,1,4,0,1,1
48,26,28,4,4,1,4,0,1,0,1,1,1,1,1,4,4,0,1,1
49,26,27,4,4,1,4,0,1,0,1,0,0,1,1,1,4,0,1,1
50,30,32,4,4,1,4,0,1,0,1,0,0,1,1,1,4,0,1,1
51,45,49,4,4,1,4,6,16,0,1,0,1,2,2,1,4,0,1,1
52,33,42,1,3,4,4,8,16,0,1,0,1,3,4,1,3,0,1,1
53,33,35,4,4,1,4,0,3,0,0,0,1,2,2,1,4,0,1,1
54,33,36,1,3,4,4,5,6,0,1,0,1,1,2,1,3,0,0,1
55,16,21,1,3,1,3,0,2,0,1,0,1,1,3,1,2,1,1,1
56,43,43,4,4,1,4,5,5,0,1,0,1,1,1,1,4,0,1,1
57,33,49,3,3,4,4,7,16,0,1,0,1,1,2,1,3,0,0,1
58,21,21,1,2,1,3,0,2,0,1,0,1,1,3,3,4,0,0,1
59,48,49,4,4,1,4,5,6,0,1,0,1,1,1,1,4,0,1,1
60,33,49,3,3,1,3,9,16,0,1,0,1,1,4,1,3,0,0,1
61,16,20,1,2,1,3,0,2,0,1,0,1,1,3,3,4,0,0,1
62,44,49,1,1,1,3,0,5,0,1,0,1,1,2,3,3,0,0,1
63,16,22,1,2,3,3,0,2,0,1,0,1,1,3,1,1,0,0,1
64,25,27,1,2,4,4,0,2,0,1,0,1,1,1,1,3,0,0,1
65,24,24,1,3,4,4,0,1,0,1,0,1,1,3,1,3,0,0,1
66,33,49,4,4,1,4,7,16,0,1,0,1,3,4,1,3,0,1,1
67,27,32,1,2,1,3,3,4,0,1,0,1,1,3,1,2,0,0,1
68,16,23,1,3,4,4,0,2,0,1,0,1,3,3,4,4,0,1,1
69,25,25,4,4,1,4,0,2,0,1,0,1,3,4,1,3,0,1,1
70,44,49,2,2,1,3,0,5,0,1,0,1,1,2,1,3,0,0,1
71,33,49,1,3,1,3,8,8,0,1,0,1,1,2,4,4,0,1,1
72,26,32,1,2,1,3,0,2,0,1,0,1,1,2,1,1,0,0,1
73,23,32,1,2,1,3,0,2,0,1,0,1,1,3,2,2,0,0,1
74,21,21,1,3,4,4,0,2,0,1,0,1,1,2,1,3,0,0,1
75,21,21,1,3,4,4,0,2,0,1,0,1,1,2,1,3,0,0,1
76,28,29,4,4,1,4,0,2,0,1,0,0,2,2,1,4,0,1,1
77,44,49,1,3,4,4,0,4,0,1,0,1,1,2,4,4,0,1,1
78,33,37,1,2,3,3,0,5,0,1,0,1,3,4,1,2,0,0,1
79,38,39,4,4,1,4,0,2,0,1,0,0,1,1,1,4,0,1,1
80,24,24,4,4,1,4,0,1,0,1,0,1,1,1,1,4,0,1,1
81,48,49,4,4,1,4,5,6,0,1,0,1,1,1,1,4,0,1,1
82,16,32,1,3,4,4,0,2,0,1,0,1,4,4,3,4,0,1,1
83,28,29,4,4,1,4,0,1,0,1,0,0,1,1,1,4,0,1,1
84,29,30,4,4,1,4,0,2,0,1,1,1,1,1,1,4,0,1,1
