,age1,age2,age3,age4,wife_ed1,wife_ed2,wife_ed3,wife_ed4,husb_ed1,husb_ed2,husb_ed3,husb_ed4,no_kids1,no_kids2,no_kids3,no_kids4,wife_rel0,wife_rel1,wife_works0,wife_works1,husb_occupation1,husb_occupation2,husb_occupation3,husb_occupation4,SOL_index1,SOL_index2,SOL_index3,SOL_index4,media_exp0,media_exp1,class
0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1
1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1
2,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1
3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1
4,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1
5,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1
6,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1
7,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1
8,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1
9,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1
10,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1
11,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1
12,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
13,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1
14,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1
15,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1
16,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1
17,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1
18,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1
19,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1
20,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1
21,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1
22,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
23,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
