index,age,workclass,fnlwgt,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,0
1,[50:100),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,0
2,[0:50),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,0
3,[50:100),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Minority,Male,Suppressed,None,Suppressed,Suppressed,0
4,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Minority,Female,Suppressed,None,Suppressed,Suppressed,0
5,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Majority,Female,Suppressed,None,Suppressed,Suppressed,0
6,[0:50),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Minority,Female,Suppressed,None,Suppressed,Suppressed,0
7,[50:100),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,1
8,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Majority,Female,Suppressed,None,Suppressed,Suppressed,1
9,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,1
10,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Minority,Male,Suppressed,None,Suppressed,Suppressed,1
11,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Minority,Male,Suppressed,None,Suppressed,Suppressed,1
12,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Majority,Female,Suppressed,None,Suppressed,Suppressed,0
13,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Minority,Male,Suppressed,None,Suppressed,Suppressed,0
14,[0:50),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Minority,Male,Suppressed,None,Suppressed,Suppressed,0
15,[0:50),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,0
16,[0:50),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,0
17,[0:50),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,0
18,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Majority,Female,Suppressed,None,Suppressed,Suppressed,1
19,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,1
20,[50:100),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Minority,Female,Suppressed,None,Suppressed,Suppressed,0
21,[0:50),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Minority,Male,Suppressed,None,Suppressed,Suppressed,0
22,[0:50),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Majority,Male,Suppressed,High,Suppressed,Suppressed,0
23,[50:100),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Majority,Female,Suppressed,None,Suppressed,Suppressed,0
24,[50:100),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,1
25,[0:50),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,0
26,[0:50),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,0
27,[0:50),Suppressed,[0:1500000),H.S. or less,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,0
28,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Majority,Male,Suppressed,None,Suppressed,Suppressed,0
29,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Minority,Male,Suppressed,None,Suppressed,Suppressed,0
30,[0:50),Suppressed,[0:1500000),Further Studies,Suppressed,Suppressed,Majority,Male,Suppressed,Low,Suppressed,Suppressed,0
