0,(37.0:43.0],[0.0:2.0],[0.0:174524.0],(9.0:15.0],(3.0:6.0],[0.0:8.0],[0.0:0.0],[0.0:0.0],(0.0:8614.0],[0:4357),[0.0:40.0],[0:39],0
1,(40.0:50.0],(3.0:4.0],[0.0:163352.0],(9.0:12.0],[0.0:0.0],(5.0:7.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:45.0],[0.0:0.0],0
2,(37.0:40.0],[0.0:3.0],(212760.0:230979.0],[0.0:8.0],(0.0:3.0],[0.0:5.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
3,(47.0:56.0],[0.0:3.0],(174524.0:256647.0],[0.0:6.0],[0.0:0.0],[0.0:5.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
4,[0.0:37.0],[0.0:3.0],(185582.0:1500000.0),(9.0:15.0],[0.0:4.0],[0.0:8.0],(0.0:1.0],[0:1],[0:100000),[0.0:0.0],[0.0:40.0],(0.0:10.0],0
5,[0.0:37.0],[0.0:3.0],(234500.0:311376.0],(12.0:15.0],[0:6],(6.0:7.0],[0.0:0.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
6,(37.0:100.0),[0.0:3.0],[0.0:174524.0],[0.0:9.0],(0.0:3.0],(6.0:13.0],(0.0:1.0],[0:1],[0.0:0.0],[0:4357),[0.0:40.0],(0.0:5.0],0
7,(47.0:100.0),(3.0:6.0],(204402.0:246739.0],[0.0:8.0],[0.0:0.0],(5.0:7.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(40.0:52.0],[0.0:0.0],1
8,[0.0:37.0],[0.0:3.0],[0.0:185582.0],(9.0:15.0],(5.0:6.0],[0.0:8.0],[0.0:0.0],(0.0:1.0],(13550.0:100000.0),[0:4357),(40.0:100.0),[0:39],1
9,(37.0:47.0],[0.0:3.0],(125280.0:174524.0],(9.0:12.0],[0.0:0.0],(6.0:7.0],[0.0:0.0],[0.0:0.0],(0.0:7688.0],[0:4357),[0.0:40.0],[0:39],1
10,[0.0:37.0],[0.0:3.0],(266015.0:349116.0],[0.0:9.0],[0:6],(6.0:13.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(45.0:100.0),[0.0:0.0],1
11,[0.0:37.0],[0.0:3.0],[0.0:185582.0],(9.0:15.0],[0.0:0.0],(7.0:8.0],(0.0:2.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],(0.0:17.0],1
12,(22.0:23.0],[0.0:3.0],[0.0:185582.0],(9.0:12.0],(5.0:6.0],[0.0:6.0],[0.0:0.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],(27.0:36.0],[0.0:0.0],0
13,[0.0:37.0],[0.0:3.0],(185582.0:220430.0],(9.0:15.0],(0.0:6.0],(8.0:13.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(40.0:100.0),[0:39],0
14,[0.0:37.0],[0.0:3.0],(185582.0:1500000.0),[0.0:9.0],[0.0:4.0],[0.0:6.0],(1.0:4.0],[0.0:0.0],[0:100000),[0:4357),(40.0:100.0),(0.0:39.0],0
15,(22.0:37.0],(3.0:6.0],(175856.0:236769.0],[0.0:8.0],(0.0:6.0],[0.0:4.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
16,(26.0:32.0],[0.0:3.0],(185582.0:248990.0],[0.0:8.0],(3.0:6.0],(0.0:2.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
17,(37.0:42.0],[0.0:3.0],[0.0:119079.0],[0.0:8.0],[0.0:0.0],(7.0:9.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(48.0:50.0],[0.0:0.0],0
18,(37.0:100.0),(3.0:6.0],(260696.0:1500000.0),(9.0:15.0],(0.0:3.0],[0.0:8.0],[0.0:0.0],(0.0:1.0],[0.0:0.0],[0:4357),[0.0:45.0],[0:39],1
19,(37.0:45.0],[0.0:3.0],(174524.0:227065.0],(14.0:15.0],[0.0:0.0],(7.0:8.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(50.0:100.0),[0.0:0.0],1
20,(51.0:100.0),[0.0:3.0],(242552.0:312108.0],(6.0:9.0],(3.0:6.0],(6.0:13.0],(0.0:1.0],[0:1],[0.0:0.0],[0:4357),[0.0:40.0],[0.0:0.0],0
21,(27.0:37.0],[0.0:3.0],[0.0:185582.0],[0.0:4.0],[0.0:4.0],(3.0:5.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
22,(37.0:46.0],[0.0:3.0],[0.0:174524.0],[0.0:9.0],[0.0:0.0],[0.0:5.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(1902.0:2042.0],[0.0:40.0],[0:39],0
23,(57.0:59.0],[0.0:3.0],(51290.0:109015.0],[0.0:8.0],(0.0:3.0],(6.0:13.0],[0.0:0.0],[0:1],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
24,(52.0:57.0],[0.0:3.0],(174524.0:224232.0],(9.0:15.0],[0.0:0.0],(9.0:13.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],1
25,(18.0:19.0],[0.0:3.0],(117444.0:185582.0],(6.0:8.0],(4.0:6.0],(3.0:5.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
26,(37.0:46.0],[0.0:3.0],(329144.0:367260.0],[0.0:9.0],(0.0:3.0],(6.0:13.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(40.0:100.0),[0:39],0
27,(47.0:49.0],[0.0:3.0],(189762.0:193366.0],[0.0:8.0],[0.0:0.0],(3.0:5.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
28,[0.0:37.0],[0.0:2.0],(185582.0:220419.0],(9.0:15.0],(3.0:6.0],(8.0:13.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(50.0:56.0],[0.0:0.0],0
29,[0.0:37.0],[0.0:3.0],(185582.0:266015.0],(8.0:9.0],[0:6],(6.0:9.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(40.0:100.0),[0.0:0.0],0
30,(37.0:100.0),[0.0:3.0],(259757.0:1500000.0),(9.0:15.0],(0.0:3.0],[0.0:8.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(0.0:1755.0],[0:100),[0:39],0
31,(28.0:37.0],[0.0:1.0],[0.0:125762.0],(8.0:9.0],[0.0:0.0],(5.0:6.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
32,[0.0:37.0],[0.0:3.0],(276540.0:372483.0],(8.0:9.0],[0:6],(12.0:13.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:20.0],[0.0:0.0],0
33,(37.0:100.0),[0.0:3.0],(228057.0:244172.0],[0.0:9.0],(3.0:6.0],[0.0:6.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],(0.0:6.0],0
34,[0.0:21.0],[0.0:3.0],(185582.0:248990.0],(8.0:9.0],(3.0:6.0],[0.0:2.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(32.0:40.0],[0.0:0.0],0
35,[0.0:37.0],[0.0:3.0],(466458.0:544091.0],[0.0:9.0],(0.0:4.0],[0.0:6.0],[0.0:0.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
36,(37.0:48.0],(3.0:6.0],(206291.0:272896.0],(9.0:12.0],[0.0:0.0],[0.0:8.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
37,[0.0:37.0],[0.0:3.0],(480861.0:512771.0],[0.0:4.0],[0.0:3.0],[0.0:6.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(40.0:100.0),[0.0:0.0],0
38,(50.0:53.0],(3.0:4.0],[0.0:163352.0],(9.0:15.0],[0.0:0.0],(7.0:8.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(38.0:45.0],[0.0:0.0],0
39,[0.0:26.0],(2.0:3.0],[0.0:185582.0],(9.0:12.0],[0.0:0.0],(9.0:13.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(40.0:50.0],[0.0:0.0],0
40,(45.0:51.0],[0.0:3.0],[0.0:111163.0],[0.0:8.0],(3.0:4.0],(5.0:6.0],[0.0:0.0],[0:1],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
41,(23.0:25.0],[0.0:3.0],(283896.0:323810.0],[0.0:8.0],(3.0:6.0],(2.0:3.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
42,(46.0:100.0),[0.0:3.0],(273084.0:403911.0],(9.0:15.0],[0.0:0.0],[0.0:8.0],(0.0:1.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0:39],1
43,(52.0:53.0],[0.0:3.0],(141388.0:146767.0],[0.0:8.0],[0.0:0.0],[0.0:2.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
44,(37.0:46.0],[0.0:3.0],[0.0:174524.0],(12.0:15.0],(0.0:3.0],(6.0:7.0],[0.0:0.0],[0:1],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
45,(40.0:45.0],[0.0:3.0],(89413.0:174524.0],(9.0:10.0],[0.0:0.0],[0.0:5.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:40.0],[0.0:0.0],0
46,(26.0:37.0],[0.0:3.0],(251694.0:321435.0],(9.0:12.0],(0.0:6.0],(7.0:8.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],[0.0:0.0],(40.0:50.0],[0.0:0.0],0
47,[0.0:37.0],[0.0:3.0],[0.0:185582.0],(8.0:9.0],[0:6],(6.0:8.0],(3.0:4.0],[0:1],[0.0:0.0],[0:4357),[0.0:40.0],[0.0:0.0],0
