algo,no,knn_pca_auroc,knn_pca_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly,1,0.7586793837651918,0.7430797281617769,0.7685368380908522,0.7430797281617769,0.7732639433559036,0.7430797281617769,0.7834698826390738,0.7430797281617769
datafly_shuffled,1,0.7435199643096141,0.7144041107243494,0.75850114770495,0.7430797281617769,0.7196757643571052,0.7425824631195094,0.719273312082203,0.7429139731476877
mondrian,1,0.6977079000957019,0.7362837725841207,0.7804608808905327,0.743245483175866,0.8290816201708247,0.7808718713741091,0.7668841429630215,0.7352892424995856
datafly,2,0.6347362437307966,0.7425824631195094,0.6169740884920093,0.7430797281617769,0.5526913141401567,0.7425824631195094,0.5584208443366697,0.7425824631195094
datafly_shuffled,2,0.6529425140135134,0.7402618929222609,0.7496217250832895,0.7430797281617769,0.7056038942816231,0.7195425161611139,0.6965536471113094,0.7195425161611139
mondrian,2,0.7388828045735503,0.7470578484999171,0.7847865412706065,0.7430797281617769,0.7935927842098824,0.7558428642466435,0.8266800025904313,0.7729156306978286
datafly,3,0.7488512157037698,0.6887120835405272,0.7224738618292761,0.7430797281617769,0.6890670849733401,0.7391016078236367,0.6829433774905916,0.7391016078236367
datafly_shuffled,3,0.5752703762601369,0.7664511851483508,0.6863156872198197,0.7802088513177524,0.6638102365207631,0.7749046908668987,0.6812426154720701,0.7697662854301343
mondrian,3,0.6515831852230289,0.7087684402453174,0.7861794737107208,0.7452345433449362,0.7882044713721371,0.7213658213160948,0.8128361624200384,0.7826951765290899
datafly,4,0.5021956782972232,0.7430797281617769,0.567653788865463,0.7430797281617769,0.6091927928446532,0.7430797281617769,0.6016408223180042,0.7430797281617769
datafly_shuffled,4,0.5483204651263196,0.5096966683242168,0.6258872586761457,0.7430797281617769,0.6284371064883107,0.7430797281617769,0.638261244990034,0.7430797281617769
mondrian,4,0.7449636979845006,0.7667826951765291,0.8175638433364754,0.7482181335985414,0.8360470019356276,0.7760649759655229,0.8338225410691286,0.778882811205039
datafly,5,0.7822454001856476,0.7430797281617769,0.7671870795046519,0.7430797281617769,0.7788042281594266,0.7430797281617769,0.7737681420131968,0.7430797281617769
datafly_shuffled,5,0.7904247587660912,0.7548483341621084,0.7622985759823849,0.7430797281617769,0.7937452598706225,0.7434112381899552,0.7967663502982594,0.7434112381899552
mondrian,5,0.7077422233095637,0.7404276479363501,0.7654589020888949,0.7430797281617769,0.8714718686363541,0.8105420188960716,0.8237263353313233,0.7909829272335488
datafly,6,0.6593108013786851,0.7430797281617769,0.6593450526361235,0.7430797281617769,0.6718711548286357,0.7430797281617769,0.6815531793945586,0.7430797281617769
datafly_shuffled,6,0.6210715750541471,0.7415879330349743,0.5751396314392003,0.7430797281617769,0.570146503277615,0.7430797281617769,0.5798285278435379,0.7430797281617769
mondrian,6,0.7059357573053759,0.745068788330847,0.7886412468609009,0.7490469086689873,0.8025191224194628,0.7619757997679429,0.7488482654904192,0.785513011768606
datafly,7,0.6206755988573319,0.7082711752030499,0.6558523598108986,0.7430797281617769,0.6544382002259432,0.7425824631195094,0.6784915775006657,0.7425824631195094
datafly_shuffled,7,0.6235588207781368,0.7434112381899552,0.6456798802645117,0.7430797281617769,0.6501377965504089,0.7430797281617769,0.6594067912472207,0.7430797281617769
mondrian,7,0.7464534837702288,0.753522294049395,0.7444707964856482,0.7445715232885795,0.7768981025091204,0.7558428642466435,0.8063606599843135,0.7611470246974971
datafly,8,0.5645074942614752,0.7425824631195094,0.5894496772754421,0.7430797281617769,0.5556096507954783,0.7425824631195094,0.5554363797284364,0.7425824631195094
datafly_shuffled,8,0.7703374756247616,0.7425824631195094,0.7637459794348542,0.7430797281617769,0.7603329423701006,0.7430797281617769,0.7555854734372864,0.7430797281617769
mondrian,8,0.8004290761514827,0.7709265705287585,0.8099117094687458,0.7470578484999171,0.8512203089808811,0.7971158627548484,0.803669777582696,0.7646278799933698
