algo,no,precision,dm,cm,entropy,discern,ilm,auroc,lr_acc,hellinger
datafly,1,0.18419562142209844,0.06707317073170732,0.24892248524633645,0.8828595000414421,0.2793941493865624,0.05853814200067602,0.7687986875148409,0.6965025692027184,0.44306819186849583
datafly_shuffled,1,0.2179209122589867,0.08536585365853659,0.2406339102181553,0.8138224777014309,0.1276739516827288,0.05607382397923839,,0.3613459307144041,0.3953274567955257
mondrian,1,0.5514437440244335,0.8170731707317073,0.16129567004840528,0.42929962662392895,0.0006315035690325971,0.05042648988850802,,0.6106414719045251,0.4519068683754784
datafly,2,0.1670147868178503,0.07926829268292683,0.24892248524633645,0.9256700494407716,0.43659168325184095,0.06624997371915234,0.6392210717189669,0.5443394662688547,0.4633465336888079
datafly_shuffled,2,0.21081990584178767,0.06707317073170732,0.24892248524633645,0.8601006944315824,0.23108100020910885,0.058819609879011074,,0.39996684899718216,0.44306819186849583
mondrian,2,0.6016321686330612,0.8902439024390244,0.16878854187388104,0.4554842107326097,0.0007997285009950533,0.05011448097382409,,0.7926404773744405,0.4184937285366963
datafly,3,0.1690454876997547,0.07317073170731707,0.24892248524633645,0.8769760959521543,0.2560379947004211,0.06527451625719759,0.7255274765601951,0.6621912812862589,0.4519515376944675
datafly_shuffled,3,0.17134694869924627,0.07926829268292683,0.2127511438233539,0.9193821609845736,0.42211720964247257,0.06417499971697549,,0.5048897729156308,0.4729193676950866
mondrian,3,0.6660054568726688,0.902439024390244,0.1469067037994828,0.4460256839001697,0.0006618856675378588,0.04025295742964737,,0.6298690535388696,0.3731611941511547
datafly,4,0.12531911013858502,0.036585365853658534,0.24892248524633645,0.943589628176063,0.5119140431427821,0.06248832523883225,0.6206489030243285,0.5032322227747389,0.44306819186849583
datafly_shuffled,4,0.1527906711167104,0.07926829268292683,0.24892248524633645,0.9021521360314676,0.3205738808194519,0.06305589046789613,,0.5009116525774905,0.4252935450318928
mondrian,4,0.579841179381229,0.8170731707317073,0.14999005370996618,0.4510490040491029,0.0009466947576647537,0.04647529208699964,,0.7410906679927067,0.43872781108680736
datafly,5,0.19676938973984925,0.07926829268292683,0.248856176646111,0.8317573301939222,0.23646819035396865,0.05876473007817407,0.7808688018535974,0.7197082711752031,0.4633465336888079
datafly_shuffled,5,0.17864227615321704,0.07926829268292683,0.23453351899741395,0.8586157831346801,0.19301809175702409,0.06063026594061445,,0.7235206364992541,0.44306819186849583
mondrian,5,0.575735833022522,0.8536585365853658,0.1605331211458126,0.4603019890270706,0.0008853369885416092,0.05570763496775534,,0.5696999834244986,0.4617257343395067
datafly,6,0.13567292177795465,0.042682926829268296,0.24892248524633645,0.8957142115563214,0.3023743992506113,0.06336538788105207,0.6912763630345462,0.5383722857616443,0.4729193676950866
datafly_shuffled,6,0.1762233936741595,0.06707317073170732,0.24892248524633645,0.8945357286073964,0.3705167086130888,0.0607434993312535,,0.5184816840709432,0.4550387132582385
mondrian,6,0.5949747414531332,0.8109756097560976,0.16315231085471785,0.4415418365669108,0.0005978304429251373,0.042901240201276114,,0.295375435106912,0.3862875342491228
datafly,7,0.1835643082907853,0.07926829268292683,0.24892248524633645,0.8973027500329982,0.3000763298562187,0.05929985193774755,0.6575618285566261,0.5007458975634013,0.44306819186849583
datafly_shuffled,7,0.1886023804787481,0.06707317073170732,0.24892248524633645,0.8833115137547348,0.2812387516710649,0.058409200749556724,,0.5007458975634013,0.44306819186849583
mondrian,7,0.5936930128774107,0.8719512195121951,0.14753663550162455,0.4224029781460681,0.0006750102064724765,0.048115625979993394,,0.6156141223272004,0.4720233784263968
datafly,8,0.1695303693389033,0.08536585365853659,0.2488893309462237,0.8986085556444932,0.33565115768700005,0.062036951680437824,0.6361474531024012,0.5007458975634013,0.4412315930498032
datafly_shuffled,8,0.2431881727560065,0.10365853658536583,0.24892248524633645,0.8078717305484534,0.18565798002898928,0.05845590316356715,,0.6418034145532903,0.4633465336888079
mondrian,8,0.5774396644590201,0.8475609756097561,0.14471851999204294,0.4439802220531364,0.0011359914996252516,0.048112796983017785,,0.4160450853638323,0.4290687029704362
datafly,9,0.12889148597573108,0.036585365853658534,0.24892248524633645,0.9311360658999188,0.4601084475595813,0.06509553694601995,0.630060587308326,0.5007458975634013,0.44306819186849583
datafly_shuffled,9,0.2202136242070597,0.06707317073170732,0.24892248524633645,0.8549640145642349,0.20270995699763505,0.05734194563449513,,0.5731808387203713,0.4602138038428068
mondrian,9,0.6603750467784357,0.8963414634146342,0.1647105629600159,0.44800924272709625,0.0007925660641694279,0.04370494160879088,,0.7883308470081221,0.43543542742142505
datafly,10,0.21592704948831865,0.07317073170731707,0.24892248524633645,0.8605217077200357,0.20661163839880609,0.05813050583758275,0.7639761680326395,0.6383225592574175,0.4560485985132328
datafly_shuffled,10,0.17049736975885774,0.07317073170731707,0.24892248524633645,0.8902105370283249,0.30459237378285897,0.062010367592237686,,0.5007458975634013,0.4406838881254658
mondrian,10,0.5316960852914727,0.8170731707317073,0.15214508321729328,0.4668750117161973,0.0011488500303168054,0.0534934850526204,,0.4210177357865075,0.4617782618113265
datafly,11,0.1545446256879517,0.13414634146341464,0.24215900802334064,0.8758571199824802,0.2427818718205117,0.061800812412289,0.6925064580889814,0.5007458975634013,0.4482960731225314
datafly_shuffled,11,0.1811647658201269,0.06707317073170732,0.24892248524633645,0.8766733210380694,0.2995098224335181,0.0647807732553156,,0.5252776396485994,0.4522409225946726
mondrian,11,0.6012266945162044,0.8841463414634146,0.14107154697964325,0.4422184475280129,0.0007533375427708827,0.04815235116606798,,0.8009282280788994,0.4376277316279231
datafly,12,0.17114387861105584,0.07926829268292683,0.22544924076652745,0.9242824857279964,0.4422996903299114,0.059744503663954486,0.6635396084131451,0.7661196751201724,0.44306819186849583
datafly_shuffled,12,0.20232733977263528,0.1097560975609756,0.2368874743054174,0.7966204119710629,0.1251805948648687,0.05943762759688469,,0.6451185148350738,0.4076459967324084
mondrian,12,0.6050104150810993,0.9329268292682928,0.14508321729328294,0.4262443621760229,0.0009038740257772363,0.04866634769362056,,0.8339134758826454,0.4284170542783978
datafly,13,0.15666419851321367,0.13414634146341464,0.24892248524633645,0.8766898511872157,0.2322459426389234,0.06087643413628027,0.6852287134911097,0.5007458975634013,0.44306819186849583
datafly_shuffled,13,0.18505625179585794,0.06707317073170732,0.24892248524633645,0.8836417029359704,0.2495182315916217,0.0636913916881361,,0.4087518647439085,0.4729193676950866
mondrian,13,0.5717602322719721,0.8841463414634146,0.15158146011537696,0.4428365790152149,0.0009773648485653984,0.04865787860316268,,0.7800430963036632,0.4340182671305667
datafly,14,0.2580901097038951,0.0975609756097561,0.2334062727935813,0.8031292933514842,0.11504747690939628,0.05432300064745227,0.7942934239024847,0.7182164760484004,0.3953274567955257
datafly_shuffled,14,0.23232599518157504,0.0975609756097561,0.24892248524633645,0.8027477658377578,0.12564346899353618,0.059251576042217535,,0.4909663517321399,0.44306819186849583
