algo,no,avg_eq_size,ambiguity,granularity,dse
datafly,1,0.0625,0.06966657825519972,0.05702291070736025,0.2389471054727181
datafly_shuffled,1,0.015151515151515152,0.01097375758207268,0.05112084182086778,0.2404716157839079
mondrian,1,0.00020656889072505683,0.0001457875570334855,0.030997754837351874,0.23896550386577445
datafly,2,0.09999999999999999,0.20987524510500435,0.06080577584214869,0.2414555080432813
datafly_shuffled,2,0.05555555555555555,0.04268726653847004,0.05611062215327162,0.24027697401209816
mondrian,2,0.00022675736961451248,0.00013103776878022638,0.026451207005016367,0.23925268161675042
datafly,3,0.05555555555555556,0.09210122481457272,0.057768281070806164,0.2429879125401879
datafly_shuffled,3,0.05263157894736842,0.09253954571241224,0.05795852844952527,0.23711072384774326
mondrian,3,0.00019080328181644724,0.00012583578019115677,0.022191858099645547,0.29751130144813603
datafly,4,0.16666666666666666,0.19923413566739603,0.06130153857302601,0.24075526245276732
datafly_shuffled,4,0.09090909090909091,0.09045582426326408,0.05769717070587454,0.24232930628282742
mondrian,4,0.00022461814914645102,0.00014947502408996924,0.02958652286043594,0.22484280608882357
datafly,5,0.0625,0.0613824238003669,0.05670941768829313,0.23883525151246426
datafly_shuffled,5,0.05555555555555555,0.07098927695207781,0.05708542609004147,0.24188881029473094
mondrian,5,0.00022862368541380884,0.0001406740972668317,0.02838844664276821,0.22651188639183342
datafly,6,0.16666666666666666,0.19597783082465794,0.06125869245667419,0.2415034081087651
datafly_shuffled,6,0.05555555555555556,0.11491280419070354,0.058548488377415636,0.23956516263757807
mondrian,6,0.0002608242044861763,0.00018418831413817086,0.027313314675104686,0.18974490055002663
datafly,7,0.08333333333333333,0.06436149554311481,0.05742762063714792,0.2405983595641243
datafly_shuffled,7,0.05555555555555556,0.04578277302566143,0.05624034146846832,0.24019243257758352
mondrian,7,0.0001478633742422002,9.597719446727515e-05,0.028446966056053947,0.22168898892815297
datafly,8,0.06666666666666667,0.08769481534408072,0.05761132475022552,0.24007649075666593
datafly_shuffled,8,0.024390243902439022,0.02685593035702444,0.053487648574839106,0.239627979380263
mondrian,8,0.00015817779183802593,9.576681129582867e-05,0.029235840135798885,0.21306433376071723
datafly,9,0.16666666666666666,0.19066043365824545,0.06118872670448455,0.24194752390415566
datafly_shuffled,9,0.041666666666666664,0.039895042958500285,0.05599507443176975,0.23829654054355126
mondrian,9,0.00025265285497726126,0.0001779109708538329,0.023781941973321823,0.20019924600898006
datafly,10,0.05555555555555555,0.04392376405505508,0.056165900093497166,0.23949476121003918
datafly_shuffled,10,0.05555555555555555,0.0806615703771065,0.05738494382376974,0.24085416468026097
mondrian,10,0.00023601604909133822,0.00016473496117408473,0.03190393511767918,0.22987925398270706
datafly,11,0.04166666666666667,0.08150286074246688,0.05741927753202087,0.24035264761416264
datafly_shuffled,11,0.05555555555555555,0.10361381871228698,0.058158380050102425,0.24193217713018333
mondrian,11,0.00021710811984368216,0.00013564169455042977,0.026745569223138886,0.20804410094895076
datafly,12,0.049999999999999996,0.06217536414472956,0.05724100929079916,0.23174936233674412
datafly_shuffled,12,0.01886792452830189,0.019673299331004868,0.05223305225877211,0.24239251970148856
mondrian,12,0.00015837820715869496,8.932908543752097e-05,0.02674130838879257,0.2079272452858611
datafly,13,0.043478260869565216,0.06507940454876997,0.056864075435372835,0.2397006191598352
datafly_shuffled,13,0.0625,0.14139701169241653,0.05967241188055715,0.24196573371509114
mondrian,13,0.0001529987760097919,9.332497958161927e-05,0.028936539849765543,0.21410911466337995
datafly,14,0.015625,0.009338686737873985,0.051696254849493986,0.23791832845930982
datafly_shuffled,14,0.013698630136986302,0.022327684472104606,0.052904767519339146,0.2422768623448255
mondrian,14,0.00012850167052171679,8.491025378301e-05,0.0238457837991368,0.2337492377079208
datafly,15,0.125,0.11229361448179831,0.06015758434689972,0.2325731995002473
datafly_shuffled,15,0.05263157894736842,0.0801524150539468,0.05738027604730649,0.24370086219056858
mondrian,15,0.00023557126030624264,0.00013241980154611683,0.0251762431879324,0.19489042171160545
datafly,16,0.05263157894736842,0.028291669429525,0.05523815511271753,0.23022427957360483
datafly_shuffled,16,0.018518518518518517,0.0273898724664589,0.053048117281916135,0.24095456212285635
mondrian,16,0.00014114326040931544,8.419681712259256e-05,0.026720764121451846,0.20469874867156743
datafly,17,0.125,0.11190681431381651,0.06015249487100522,0.232578256960323
datafly_shuffled,17,0.06666666666666667,0.03965192896629804,0.05585677121345386,0.23141375231216016
mondrian,17,0.0001937608990505716,0.00012661287434188686,0.023795053113809573,0.24223212976889147
datafly,18,0.03125,0.054596291138960716,0.05647212035537791,0.2397296599440831
datafly_shuffled,18,0.041666666666666664,0.10875008288575028,0.058398443357366006,0.24868440268970363
mondrian,18,0.00013877324451845683,8.520904335993481e-05,0.024483479319384712,0.2358769378268617
datafly,19,0.0625,0.06303682337599185,0.05679825397069729,0.23942971213829453
datafly_shuffled,19,0.024390243902439025,0.016182219190971927,0.051956243974218795,0.23777909247296145
mondrian,19,0.00019175455417066154,0.0001260950513859293,0.025824713497324146,0.22425700474478819
datafly,20,0.0625,0.04653381543586201,0.056211868508608126,0.19760568370412182
datafly_shuffled,20,0.14285714285714288,0.22174885249283496,0.06159745766645173,0.23847852160209768
mondrian,20,0.00029411764705882356,0.00022738407110571815,0.0267627525127289,0.23752056920656991
datafly,21,0.043478260869565216,0.03136823060236627,0.05544813442410188,0.24120183980855428
datafly_shuffled,21,0.05555555555555556,0.059977076169636344,0.056702594674588845,0.24043211707510148
mondrian,21,0.00016017940092904052,8.410009727064407e-05,0.02625816426634658,0.1813390266629969
datafly,22,0.16666666666666669,0.2355826157795523,0.06177980804818596,0.24201769915105384
datafly_shuffled,22,0.047619047619047616,0.059054439360785096,0.05721202836091992,0.24056279801108976
mondrian,22,0.00027662517289073305,0.0001804220813699311,0.025742156605661468,0.19438676176630504
datafly,23,0.049999999999999996,0.07022149835333644,0.05749062990672463,0.2376266411724503
datafly_shuffled,23,0.125,0.11329745301298907,0.06017079274862591,0.2405502846959889
mondrian,23,0.00024354603019970775,0.00014061980279591653,0.027905365398763038,0.21426459223761962
datafly,24,0.04166666666666667,0.05212250671769271,0.05664209638623152,0.24002316911528374
datafly_shuffled,24,0.05555555555555556,0.0469450680610418,0.05621060854255895,0.23976151169034998
mondrian,24,0.00016131634134537829,9.6297126225738e-05,0.027623370767446788,0.2197633948305504
datafly,25,0.041666666666666664,0.0696008222266428,0.057015859186575,0.23958882679113092
datafly_shuffled,25,0.045454545454545456,0.034886612293614484,0.05562693290561831,0.24042818537759156
mondrian,25,0.0002516356316054353,0.00018500571036108392,0.02951948827007392,0.24103221003660674
datafly,26,0.05555555555555556,0.10504387419048254,0.058261899989796494,0.24370020379585391
datafly_shuffled,26,0.041666666666666664,0.05623348205405099,0.05654066209298564,0.24035161554022672
mondrian,26,0.0002666666666666667,0.00018645601245837173,0.03125170022646507,0.22846595227056532
datafly,27,0.05555555555555556,0.0790479032273343,0.057332601160866206,0.24065457065269466
datafly_shuffled,27,0.058823529411764705,0.04916256447985112,0.056428849077366346,0.23386773805040534
mondrian,27,0.00022045855379188714,0.00014060290317078185,0.02978756024024802,0.23963795405529253
datafly,28,0.16666666666666669,0.22269467099882853,0.061610120767189226,0.24108354196364196
datafly_shuffled,28,0.01886792452830189,0.021586527986965625,0.05251183505223877,0.2396446423657204
mondrian,28,0.00015527950310559007,8.935590638629452e-05,0.02671086060577336,0.20821533602230272
datafly,29,0.16666666666666669,0.16632407223216852,0.06086851142256249,0.2330737757759552
datafly_shuffled,29,0.014084507042253521,0.013064491428824035,0.051481417685301754,0.23961322208851216
mondrian,29,0.00023832221163012395,0.00013364287207860842,0.02671659827883331,0.2037849182472961
datafly,30,0.05263157894736842,0.048738771418652994,0.056331628580963196,0.20025351702091598
datafly_shuffled,30,0.0625,0.10657560285569039,0.05826176911755921,0.24074938223309306
mondrian,30,0.0003157562361856647,0.00023355434420585573,0.028884940229094856,0.21301469547982346
datafly,31,0.058823529411764705,0.1248785131717298,0.05877277223206918,0.2421316421709378
datafly_shuffled,31,0.16666666666666669,0.27304776429502914,0.06227277052865276,0.24122782431569073
mondrian,31,0.00019908421262193908,0.00013552663863168266,0.02355424129671173,0.19703059280445187
datafly,32,0.007936507936507936,0.007519947837234487,0.05043122926251745,0.23919557115294607
datafly_shuffled,32,0.024390243902439022,0.013924569230914964,0.051635042995842886,0.2388092515156732
mondrian,32,0.00014042971492767868,9.742401826394852e-05,0.026327858967025164,0.21660008077219411
datafly,33,0.023809523809523808,0.007266286484976149,0.050539067965675956,0.18339340083296538
