algo,no,auroc,lr_acc
datafly,1,0.7732639433559036,0.7430797281617769
datafly_shuffled,1,0.7196757643571052,0.7425824631195094
mondrian,1,0.8290816201708247,0.7808718713741091
datafly,2,0.5526913141401567,0.7425824631195094
datafly_shuffled,2,0.7056038942816231,0.7195425161611139
mondrian,2,0.7935927842098824,0.7558428642466435
datafly,3,0.6890670849733401,0.7391016078236367
datafly_shuffled,3,0.6638102365207631,0.7749046908668987
mondrian,3,0.788204471372137,0.7213658213160948
datafly,4,0.6091927928446532,0.7430797281617769
datafly_shuffled,4,0.6284371064883107,0.7430797281617769
mondrian,4,0.8360470019356276,0.7760649759655229
datafly,5,0.7788042281594266,0.7430797281617769
datafly_shuffled,5,0.7937452598706225,0.7434112381899552
mondrian,5,0.871471868636354,0.8105420188960716
datafly,6,0.6718711548286357,0.7430797281617769
datafly_shuffled,6,0.570146503277615,0.7430797281617769
mondrian,6,0.8025191224194628,0.7619757997679429
datafly,7,0.6544382002259432,0.7425824631195094
datafly_shuffled,7,0.650137796550409,0.7430797281617769
mondrian,7,0.7768981025091204,0.7558428642466435
datafly,8,0.5556096507954783,0.7425824631195094
datafly_shuffled,8,0.7603329423701006,0.7430797281617769
mondrian,8,0.8512203089808811,0.7971158627548484
datafly,9,0.630049218193462,0.7430797281617769
datafly_shuffled,9,0.7356867161247148,0.734626222443229
mondrian,9,0.845781770559749,0.8032487982761478
datafly,10,0.7169202650874631,0.7415879330349743
datafly_shuffled,10,0.6187003950407634,0.7430797281617769
mondrian,10,0.8527803242356429,0.8102105088678933
datafly,11,0.6996504356961425,0.7430797281617769
datafly_shuffled,11,0.6335563742597483,0.742250953091331
mondrian,11,0.8733265454440791,0.785513011768606
datafly,12,0.6365437890813324,0.7661196751201724
datafly_shuffled,12,0.7576079526238909,0.7430797281617769
mondrian,12,0.823592208558497,0.7889938670644787
datafly,13,0.6875711109352176,0.7430797281617769
datafly_shuffled,13,0.7594091658091859,0.7430797281617769
mondrian,13,0.8521366740302073,0.7931377424167081
datafly,14,0.7948769904945565,0.7619757997679429
datafly_shuffled,14,0.7495358810704237,0.7165589259075087
mondrian,14,0.8301842803997899,0.8004309630366319
datafly,15,0.6284958229296338,0.7642963699651915
datafly_shuffled,15,0.6437371287948019,0.7430797281617769
mondrian,15,0.8320430587236369,0.7846842366981601
datafly,16,0.6443016988911514,0.7659539201060832
datafly_shuffled,16,0.7983186662157398,0.7452345433449362
mondrian,16,0.8422838968720543,0.7934692524448864
datafly,17,0.6279988918710828,0.7659539201060832
datafly_shuffled,17,0.8005954394018983,0.7787170561909498
mondrian,17,0.8544166132989862,0.805237858445218
datafly,18,0.784650471674354,0.7442400132604011
datafly_shuffled,18,0.6467366322954818,0.7430797281617769
mondrian,18,0.8210271059846157,0.78269517652909
datafly,19,0.7598127693868593,0.7430797281617769
datafly_shuffled,19,0.7532495520712656,0.7387700977954583
mondrian,19,0.866145510278975,0.7919774573180839
datafly,20,0.6432397659977117,0.7414221780208852
datafly_shuffled,20,0.5806227828427104,0.7449030333167578
