algo,no,bivariate_corr
datafly,1,0.256469258063424
datafly,2,0.006994604257596455
datafly,3,0.0006730088391067365
datafly,4,0.00713414324100569
datafly,5,0.024495472561441245
datafly,6,0.13040158006176505
datafly,7,0.0031327036926937185
datafly,8,0.3046627939898112
datafly,9,3.792492408604114e-05
datafly,10,0.002905157298662737
datafly,11,0.011205714825051564
datafly,12,0.33313184144721786
datafly,13,0.3332317406559208
datafly,14,0.4354275638026639
datafly,15,0.0019721529433992455
datafly,16,7.474732586500312e-05
datafly,17,0.0016683913151881394
datafly,18,0.00018050241376793563
datafly,19,0.24669002229124615
datafly,20,0.3330085916362389
datafly,21,0.3305142460027628
datafly,22,0.08109670014956444
datafly,23,0.13678212720250582
datafly,24,0.017240434807366284
datafly,25,0.000770002597126649
datafly,26,0.000278889804823235
datafly,27,0.000770002597126649
datafly,28,0.12363252036650724
datafly,29,0.0016573463895076846
datafly,30,0.1440925690349606
datafly,31,0.32088824406879246
datafly,32,0.23440967871662866
datafly,33,0.0017959620517441694
datafly,34,0.002656772543713445
datafly,35,0.0052737462844498605
datafly,36,0.33315477853166703
datafly,37,0.0016564139962493328
datafly,38,0.00031003609458417044
datafly,39,0.0016271230889121657
datafly,40,0.010646029907113984
datafly,41,3.25983937045516e-05
datafly,42,0.00013610076559984578
datafly,43,0.003227825301193787
datafly,44,0.0038500707512993024
datafly,45,0.0005334519883299395
datafly,46,0.0008797906892899516
datafly,47,0.002021976698989135
datafly,48,0.33231710031901646
datafly,49,0.23535439680349135
datafly,50,0.0003810088123367173
datafly,51,0.25970367013127327
datafly,52,0.33031331114560736
datafly,53,0.3329979651367211
datafly,54,0.003960947801786982
datafly,55,0.01051296854336743
datafly,56,0.2578127895521143
datafly,57,0.10572848707507465
datafly,58,0.3304599131333443
datafly,59,0.12737802123866737
datafly,60,0.0029844026339224477
datafly,61,0.000770002597126649
datafly,62,0.3326256019671815
datafly,63,0.24765130571573454
datafly,64,0.0007955435128834121
datafly,65,0.33301224371165933
datafly,66,0.0016199043767235273
datafly,67,0.024092711884979474
datafly,68,0.006919554875527501
datafly,69,0.00012614646346474547
datafly,70,0.4130920946689394
datafly,71,0.32076149643597884
datafly,72,0.0003636905114292326
