algo,no,precision,dm,cm,entropy,discern,ilm,hellinger,bivariate_corr,auroc,lr_acc,avg_eq_size,ambiguity,granularity,dse
datafly,1,0.18419562142209844,0.06707317073170732,0.24892248524633645,0.8828595000414421,0.2793941493865624,0.05853814200067602,0.44306819186849583,0.25646925806342397,0.7734808200153986,0.7430797281617769,0.0625,0.06966657825519973,0.05702291070736025,0.2389471054727181
datafly_shuffled,1,0.2179209122589867,0.08536585365853659,0.2406339102181553,0.8138224777014309,0.1276739516827288,0.05607382397923839,0.3953274567955257,0.3272870511937489,0.7196951925913667,0.7425824631195094,0.015151515151515154,0.010973757582072679,0.05112084182086778,0.2404716157839079
mondrian,1,0.5514437440244335,0.8170731707317073,0.16129567004840528,0.42929962662392895,0.0006315035690325971,0.05042648988850802,0.4519068683754784,0.01427706697755761,0.8290459297849222,0.7808718713741091,0.00020656889072505683,0.0001457875570334855,0.030997754837351874,0.23896550386577445
datafly,2,0.1670147868178503,0.07926829268292683,0.24892248524633645,0.9256700494407716,0.43659168325184095,0.06624997371915234,0.4633465336888079,0.006994604257596454,0.5526913141401567,0.7425824631195094,0.1,0.20987524510500435,0.06080577584214869,0.2414555080432813
datafly_shuffled,2,0.21081990584178767,0.06707317073170732,0.24892248524633645,0.8601006944315824,0.23108100020910885,0.058819609879011074,0.44306819186849583,0.00010848168601255981,0.7056038942816231,0.7195425161611139,0.05555555555555555,0.04268726653847004,0.056110622153271617,0.24027697401209816
mondrian,2,0.6016321686330612,0.8902439024390244,0.16878854187388104,0.4554842107326097,0.0007997285009950533,0.05011448097382409,0.4184937285366963,0.01151535987931807,0.7944198513380297,0.7561743742748218,0.0002267573696145125,0.00013103776878022638,0.02645120700501637,0.2392526816167504
datafly,3,0.1690454876997547,0.07317073170731707,0.24892248524633645,0.8769760959521543,0.2560379947004211,0.06527451625719759,0.4519515376944675,0.0006730088391067366,0.6890674447554561,0.7391016078236367,0.05555555555555556,0.09210122481457272,0.057768281070806164,0.2429879125401879
datafly_shuffled,3,0.17134694869924627,0.07926829268292683,0.2127511438233539,0.9193821609845736,0.42211720964247257,0.06417499971697549,0.4729193676950866,0.3333180161333555,0.6638115317363805,0.7749046908668987,0.05263157894736842,0.09253954571241224,0.05795852844952527,0.2371107238477433
mondrian,3,0.6660054568726688,0.902439024390244,0.1469067037994828,0.4460256839001697,0.0006618856675378588,0.04025295742964737,0.3731611941511547,0.01630368055049413,0.7875036158102653,0.7208685562738273,0.00019080328181644724,0.00012583578019115677,0.022191858099645547,0.29751130144813603
datafly,4,0.12531911013858502,0.03658536585365853,0.24892248524633645,0.943589628176063,0.5119140431427821,0.06248832523883225,0.44306819186849583,0.007134143241005691,0.6091927928446532,0.7430797281617769,0.16666666666666666,0.19923413566739606,0.06130153857302601,0.2407552624527673
datafly_shuffled,4,0.1527906711167104,0.07926829268292683,0.24892248524633645,0.9021521360314676,0.3205738808194519,0.06305589046789613,0.4252935450318928,0.4801254739387791,0.6284371064883107,0.7430797281617769,0.09090909090909093,0.09045582426326408,0.05769717070587454,0.24232930628282745
mondrian,4,0.579841179381229,0.8170731707317073,0.14999005370996618,0.4510490040491029,0.0009466947576647537,0.04647529208699964,0.43872781108680736,0.017530669964689348,0.8363496506515655,0.7765622410077905,0.00022461814914645102,0.00014947502408996924,0.02958652286043594,0.2248428060888236
datafly,5,0.19676938973984925,0.07926829268292683,0.248856176646111,0.8317573301939222,0.23646819035396865,0.05876473007817407,0.4633465336888079,0.024495472561441245,0.7788003425125744,0.7430797281617769,0.0625,0.0613824238003669,0.05670941768829312,0.23883525151246424
datafly_shuffled,5,0.17864227615321704,0.07926829268292683,0.23453351899741395,0.8586157831346801,0.19301809175702409,0.06063026594061445,0.44306819186849583,0.004833153461545083,0.7937523835565183,0.7434112381899552,0.05555555555555555,0.07098927695207781,0.057085426090041476,0.2418888102947309
mondrian,5,0.575735833022522,0.8536585365853658,0.1605331211458126,0.4603019890270706,0.0008853369885416092,0.05570763496775534,0.4617257343395067,0.019330661697561948,0.8713692587768846,0.8108735289242499,0.00022862368541380884,0.00014067409726683172,0.02838844664276821,0.22651188639183345
datafly,6,0.13567292177795465,0.042682926829268296,0.24892248524633645,0.8957142115563214,0.3023743992506113,0.06336538788105207,0.4729193676950866,0.13040158006176505,0.6718695717873255,0.7430797281617769,0.16666666666666666,0.19597783082465794,0.06125869245667419,0.2415034081087651
datafly_shuffled,6,0.1762233936741595,0.06707317073170732,0.24892248524633645,0.8945357286073964,0.3705167086130888,0.0607434993312535,0.4550387132582385,0.00024879119774250287,0.570146503277615,0.7430797281617769,0.05555555555555556,0.11491280419070354,0.058548488377415636,0.2395651626375781
mondrian,6,0.5949747414531332,0.8109756097560976,0.16315231085471785,0.4415418365669108,0.0005978304429251373,0.042901240201276114,0.3862875342491228,0.021402580668424268,0.8034657091665287,0.762970329852478,0.0002608242044861763,0.00018418831413817089,0.02731331467510469,0.18974490055002666
datafly,7,0.1835643082907853,0.07926829268292683,0.24892248524633645,0.8973027500329982,0.3000763298562187,0.05929985193774755,0.44306819186849583,0.0031327036926937185,0.6544460434760709,0.7425824631195094,0.08333333333333333,0.06436149554311481,0.05742762063714792,0.2405983595641243
datafly_shuffled,7,0.1886023804787481,0.06707317073170732,0.24892248524633645,0.8833115137547348,0.2812387516710649,0.058409200749556724,0.44306819186849583,0.0005334519883299395,0.6501289459103566,0.7430797281617769,0.05555555555555556,0.04578277302566143,0.05624034146846832,0.2401924325775835
mondrian,7,0.5936930128774107,0.8719512195121951,0.14753663550162455,0.4224029781460681,0.0006750102064724765,0.048115625979993394,0.4720233784263968,0.016338987156510058,0.7770856929043771,0.7556771092325543,0.0001478633742422002,9.597719446727516e-05,0.02844696605605395,0.22168898892815292
