algo,no,precision,dm,cm,entropy,discern,ilm,auroc,hellinger,bivariate_corr,lr_acc
datafly,179,0.16788785005415208,0.07926829268292683,0.22544924076652745,0.8746162541854784,0.27781683482278824,0.05798963038615865,0.7526125938131867,0.44306819186849583,0.003997609439883772,0.7659539201060832
datafly,173,0.15401415688614814,0.07317073170731707,0.24892248524633645,0.9017447694377766,0.3285764398275438,0.06100399307155991,0.7064038338382275,0.44306819186849583,0.009281049423710415,0.5022376926902039
datafly,193,0.12928657471874105,0.036585365853658534,0.24892248524633645,0.9333068038551644,0.4674981433613921,0.06507830277477232,0.5802238564325445,0.4729193676950866,0.00012614646346474547,0.5007458975634013
datafly_shuffled,164,0.17908157062971064,0.06707317073170732,0.248856176646111,0.8310800404878327,0.20434352900719424,0.05870611031055607,,0.4633465336888079,0.10497359637161983,0.5602519476214155
datafly,129,0.15328890657118233,0.07926829268292683,0.24892248524633645,0.8975673043181692,0.3432572017302003,0.06260798732912733,0.6865201154181029,0.4633465336888079,0.003312343230143207,0.501408917619758
datafly,109,0.18899746922175809,0.06707317073170732,0.24892248524633645,0.8864854069699889,0.2828199508345538,0.05793252345195025,0.6236483345685853,0.3953274567955257,0.0028818081994042505,0.5035637328029173
datafly_shuffled,127,0.1904175784099198,0.06097560975609756,0.2478615476427293,0.8738906886889287,0.26082527689996154,0.06158166631895081,,0.44306819186849583,0.2692434057161832,0.5052212829438091
datafly_shuffled,157,0.1835643082907853,0.09146341463414634,0.22084079305085869,0.8953299996261163,0.2979273723717621,0.061198331516585484,,0.44306819186849583,0.0019351097763130613,0.7245151665837891
datafly_shuffled,162,0.2337069638765481,0.2804878048780488,0.2483588621444201,0.8513912142627744,0.2192920183136255,0.056439161454972464,,0.44306819186849583,0.3317484241817513,0.5007458975634013
datafly,130,0.19281297659306407,0.06097560975609756,0.24892248524633645,0.8550507597524112,0.2047133706000769,0.05950949223785058,0.7729959776359436,0.43580404299768105,6.828878397456724e-05,0.5103596883805736
mondrian,98,0.5821712350790362,0.8841463414634146,0.15347125522180227,0.474486472953964,0.0010046713641611914,0.046055180753646265,,0.4610072299400599,0.011381347100473269,0.7563401292889109
mondrian,130,0.6176180149441477,0.8475609756097561,0.15977057224321994,0.4397043075481705,0.0006085565108417202,0.04962429496108379,,0.43916933409402864,0.02546299544492697,0.5723520636499254
datafly_shuffled,143,0.15821830633099787,0.25,0.24892248524633645,0.9023675607633088,0.39241065995541496,0.06464079236351346,,0.4530632354764518,0.09966036769228673,0.5040609978451848
mondrian,47,0.6450580598088657,0.8902439024390244,0.15065313971222066,0.4153005860223595,0.0006761116125036733,0.0467006738352591,,0.4580110944183269,0.010160179173568158,0.6126305320735952
mondrian,74,0.5966260288049272,0.8048780487804879,0.15675353093296202,0.4490055158533383,0.0007317051368886992,0.051177238740295686,,0.38660258799903335,0.01723571102138368,0.7376098126968341
