algo,no,precision,dm,cm,entropy,discern,ilm,auroc,hellinger,bivariate_corr,lr_acc
datafly_shuffled,175,0.18776799725924453,0.06707317073170732,0.24892248524633645,0.8591491673251815,0.22636138303199194,0.05884830654304156,,0.4550344861929943,0.2542721893527302,0.722526106414719
mondrian,104,0.5865591515163595,0.8902439024390244,0.16199191035077248,0.4482242725764745,0.0008628164229057263,0.048718949094608784,,0.4846269036692196,0.01479590896837895,0.8063981435438422
datafly,126,0.17888678911654846,0.06707317073170732,0.24892248524633645,0.8859271174110811,0.28580870953285303,0.06290095476297909,0.7300522403632359,0.44306819186849583,0.0006652294369951049,0.5184816840709432
datafly,86,0.1937201150822596,0.12804878048780488,0.2487567137457728,0.8574670992717022,0.19331815345203007,0.05601329095881809,0.6902898404726097,0.40187191237973297,0.2493019098754164,0.5266036797613127
mondrian,87,0.5889949350169754,0.902439024390244,0.14912804190703535,0.4604905588315884,0.00138577543827705,0.0444462999649114,,0.4377701867655277,0.016564016149969128,0.6331841538206531
datafly_shuffled,18,0.15433326702473293,0.12195121951219512,0.24892248524633645,0.8837981423178435,0.2791099492574547,0.06543998097053834,,0.4582038485836121,0.003906348693836095,0.5032322227747389
mondrian,190,0.6033813739123325,0.8292682926829268,0.15870963463961274,0.43901687144185375,0.0005353580772794044,0.05217399214629855,,0.4050820214093726,0.028891201487345905,0.6723023371456986
mondrian,86,0.6027876082962169,0.8841463414634146,0.14090577547907965,0.4127233879016892,0.0005841519033520737,0.0491397994761993,,0.4528258764566432,0.01294877255956522,0.7483838886126305
datafly_shuffled,53,0.15698837389209386,0.06707317073170732,0.24892248524633645,0.8638481020802242,0.2172730575186634,0.0640842970991874,,0.4664366409115082,0.000278889804823235,0.6713078070611636
mondrian,110,0.5474581020455506,0.8536585365853658,0.1609309727471653,0.4844844070731422,0.0011150252135583426,0.05196962940148203,,0.4638890661524211,0.0243640454279673,0.4934526769434776
datafly,13,0.15666419851321367,0.13414634146341464,0.24892248524633645,0.8766898511872157,0.2322459426389234,0.06087643413628027,0.6852287134911097,0.44306819186849583,0.3332317406559208,0.5007458975634013
datafly_shuffled,132,0.18427160002652346,0.06707317073170732,0.24892248524633645,0.8653052048608197,0.2376501375256021,0.06036562117411508,,0.44306819186849583,0.2542721893527302,0.5862754848334162
datafly,62,0.17430182569679287,0.07317073170731707,0.24882302234599826,0.8935149800915994,0.3175422750082824,0.06408955326871749,0.6431744295654549,0.4784592026252672,0.3326256019671815,0.5045582628874523
datafly_shuffled,52,0.2039344023753213,0.10365853658536583,0.2380810291094755,0.7721965726158107,0.1202519413754238,0.056585407633467616,,0.4417052351420804,0.33335170337391296,0.7037957898226421
mondrian,172,0.6268064742339186,0.8414634146341463,0.15294078641999867,0.44560490919942,0.0005108105727996828,0.04257306424448449,,0.4127343722544066,0.014210435539633762,0.6446212497928062
datafly,60,0.2274426430608049,0.1097560975609756,0.24892248524633645,0.8281427363572179,0.2067608514358428,0.059314134567643687,0.735260590186583,0.4749660257551628,0.002984402633922448,0.4937841869716559
datafly_shuffled,179,0.2311600689609442,0.10365853658536583,0.24892248524633645,0.8389671147915054,0.19333456462173645,0.06129119893496528,,0.4629426622737441,0.32946448016189683,0.5392010608320902
mondrian,69,0.6923138093730055,0.9146341463414634,0.12767720973410251,0.3871175705904392,0.000417993481707631,0.04737574193495605,,0.4339886490810797,0.01395121101032492,0.7894911321067463
mondrian,38,0.6466750408772536,0.8780487804878049,0.14083946687885418,0.4253167832129629,0.00044212768412375,0.04526451626166609,,0.3838446493199158,0.014530784195728353,0.6185977125808055
mondrian,194,0.6449035703993309,0.8719512195121951,0.1465088521981301,0.4386002983531777,0.0008828241999315141,0.0448348920826548,,0.4339914268811388,0.0172607273706491,0.7843527266699818
mondrian,84,0.578441397103042,0.8841463414634146,0.15599098203036935,0.4488860760626893,0.0009196938217861992,0.0491577564560142,,0.4323755664091344,0.00884170301907995,0.7465605834576496
datafly,146,0.1252044515173618,0.04878048780487805,0.2300245341820834,0.9502058595155384,0.537970937750857,0.062482816368844014,0.5870910896361163,0.4729193676950866,0.0016262560951194982,0.7613127797115863
mondrian,72,0.5609521924127334,0.8109756097560976,0.15807970293747098,0.4912469939628949,0.0020495055761944976,0.046816299163619804,,0.3990113900155723,0.02420685591593717,0.4485330681253108
datafly,22,0.12502901001259858,0.04878048780487805,0.24892248524633645,0.913842375563624,0.3277002746273498,0.06498667358863762,0.7387022659077662,0.4633465336888079,0.08109670014956444,0.6678269517652909
mondrian,196,0.6326762024373378,0.9390243902439024,0.15304024932033686,0.4717806141189553,0.0010851421553107288,0.04260516835082143,,0.4528128737250186,0.01436517536577686,0.7158959058511519
mondrian,15,0.6198212347971572,0.902439024390244,0.16331808235528147,0.4743240099806224,0.0010236656717650598,0.04516075621220386,,0.4295959395592573,0.01785282552828207,0.6568871208354052
mondrian,150,0.6384171774337903,0.8658536585365854,0.14796764140309002,0.4239032051538735,0.0008116505067978055,0.04612201087509936,,0.3903488297384435,0.012668965637100129,0.8117023039946958
datafly,124,0.13888428412498444,0.08536585365853659,0.2300245341820834,0.9128153953018407,0.3684119348779637,0.059228683065376514,0.6259036647406331,0.44306819186849583,0.3305427386820544,0.7608155146693187
datafly,88,0.1311694626793095,0.042682926829268296,0.24892248524633645,0.8899090814409134,0.2833031712961928,0.06517213550890234,0.7423769365272391,0.4729193676950866,0.046745764668050784,0.5713575335653903
