k_val,accuracy
1,0.6190476190476191
2,0.5132275132275133
4,0.5132275132275133
6,0.5132275132275133
8,0.5264550264550265
10,0.5052910052910053
12,0.5132275132275133
14,0.455026455026455
16,0.5
18,0.5185185185185185
20,0.5343915343915344
35,0.5132275132275133
50,0.47354497354497355
65,0.4947089947089947
80,0.4973544973544973
95,0.46296296296296297
110,0.4417989417989418
125,0.41534391534391535
140,0.47619047619047616
155,0.4576719576719577
170,0.42857142857142855
185,0.4074074074074074
200,0.4576719576719577
215,0.42063492063492064
230,0.42063492063492064
245,0.41534391534391535
260,0.4603174603174603
275,0.4444444444444444
290,0.43386243386243384
305,0.43386243386243384
320,0.43386243386243384
335,0.42592592592592593
350,0.42592592592592593
365,0.3915343915343915
380,0.455026455026455
395,0.455026455026455
410,0.4576719576719577
425,0.4523809523809524
440,0.4417989417989418
455,0.3941798941798942
470,0.3412698412698413
485,0.3412698412698413
500,0.3941798941798942
515,0.3412698412698413
530,0.3941798941798942
545,0.3941798941798942
560,0.3941798941798942
575,0.291005291005291
590,0.291005291005291
605,0.3941798941798942
620,0.291005291005291
635,0.3412698412698413
650,0.3941798941798942
665,0.3941798941798942
680,0.291005291005291
695,0.3941798941798942
710,0.3412698412698413
725,0.291005291005291
1887,0.3201058201058201
