,cond_entropy,k_val
0,0.0,1.0
1,13734.497423285897,2.0
2,15605.653151508028,4.0
3,16594.85182927489,6.0
4,17471.73581429341,8.0
5,17939.261453224,10.0
6,18517.881062394597,12.0
7,18924.939041003097,14.0
8,19270.72426169017,16.0
9,19661.26514207917,18.0
10,19853.159642653587,20.0
11,21128.698267052234,35.0
12,22373.017782234812,50.0
13,22880.6378392959,65.0
14,23344.94654331455,80.0
15,24308.805337699818,95.0
16,24548.472065683705,110.0
17,24604.846011577552,125.0
18,24998.915394788586,140.0
19,25320.974677207676,155.0
20,25834.100238983054,170.0
21,26204.11207919428,185.0
22,26049.79678033673,200.0
23,26488.110824794756,215.0
24,26956.47828103703,230.0
25,26956.47828103703,245.0
26,26660.93596413233,260.0
27,26772.608096440337,275.0
28,27392.196306295213,290.0
29,27392.196306295213,305.0
30,27392.196306295213,320.0
31,27392.196306295213,335.0
32,27392.196306295213,350.0
33,27274.99909018528,365.0
34,27274.99909018528,380.0
35,27274.99909018528,395.0
36,27274.99909018528,410.0
37,27274.99909018528,425.0
38,27346.633390989417,440.0
39,29244.26010996029,455.0
40,29244.26010996029,470.0
41,29244.26010996029,485.0
42,29244.26010996029,500.0
43,29244.26010996029,515.0
44,29244.26010996029,530.0
45,29244.26010996029,545.0
46,29244.26010996029,560.0
47,29244.26010996029,575.0
48,29244.26010996029,590.0
49,29244.26010996029,605.0
50,29244.26010996029,620.0
51,29244.26010996029,635.0
52,29244.26010996029,650.0
53,29244.26010996029,665.0
54,29244.26010996029,680.0
55,29244.26010996029,695.0
56,29244.26010996029,710.0
57,29244.26010996029,725.0
58,31133.067210345776,1887.0
