algo,no,knn_auroc,knn_acc,knn_pca_auroc,knn_pca_acc,rf_auroc,rf_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly,1,0.46388127533931023,0.4033898305084746,0.46427172713162007,0.4067796610169492,0.5787248387184967,0.42033898305084744,0.5684805322009867,0.43728813559322033,0.5837739318311598,0.43050847457627117,0.58511553955833,0.43050847457627117
datafly_shuffled,1,0.451268750889934,0.43728813559322033,0.5896753623500065,0.4406779661016949,0.6353660919716372,0.48135593220338985,0.6134597030804073,0.43728813559322033,0.6193087005096872,0.47796610169491527,0.6181161735765232,0.47796610169491527
mondrian,1,0.523479142635681,0.4135593220338983,0.6219239909581628,0.45084745762711864,0.686078701115243,0.4610169491525424,0.6433751217796959,0.4745762711864407,0.6270215357902594,0.4610169491525424,0.6215093689474146,0.43728813559322033
datafly,2,0.4754046466999357,0.43050847457627117,0.4416602882596337,0.33559322033898303,0.6037704043054416,0.46440677966101696,0.5969367163599388,0.43728813559322033,0.6031863629025899,0.43389830508474575,0.603717083664724,0.43389830508474575
datafly_shuffled,2,0.46388127533931023,0.4033898305084746,0.46427172713162007,0.4067796610169492,0.5791148976104377,0.42033898305084744,0.5783680672513908,0.43728813559322033,0.5837739318311598,0.43050847457627117,0.58511553955833,0.43050847457627117
mondrian,2,0.5274019302009297,0.4,0.5898199178102301,0.43389830508474575,0.6854782475003606,0.4745762711864407,0.6771700991889981,0.44745762711864406,0.667234581168783,0.5152542372881356,0.6788526974715529,0.5016949152542373
datafly,3,0.4479150957931532,0.39661016949152544,0.532890770279215,0.423728813559322,0.6097169600895515,0.4542372881355932,0.5991593195007128,0.4271186440677966,0.6095303043961304,0.4406779661016949,0.6128784083736578,0.4406779661016949
datafly_shuffled,3,0.46388127533931023,0.4033898305084746,0.46427172713162007,0.4067796610169492,0.5801394641419597,0.43728813559322033,0.5656318169271245,0.42033898305084744,0.5837739318311598,0.43050847457627117,0.58511553955833,0.43050847457627117
mondrian,3,0.5395218088083268,0.39661016949152544,0.5518372340765912,0.4067796610169492,0.6598119970341084,0.4576271186440678,0.663312480916061,0.47796610169491527,0.6574837353441526,0.4542372881355932,0.6564395394493988,0.4745762711864407
datafly,4,0.46388127533931023,0.4033898305084746,0.46427172713162007,0.4067796610169492,0.5785648882360382,0.42033898305084744,0.5657821096916528,0.42033898305084744,0.5837739318311598,0.43050847457627117,0.58511553955833,0.43050847457627117
