algo,no,entropy,cm,dm,discern,precision,ilm,hellinger,bivariate_corr,avg_eq_size,ambiguity,granularity,dse,auroc,lr_acc
datafly,1,0.8424145185073939,0.570264765784114,0.2,0.4041578464407306,0.33333333333333337,0.2,0.20906053788731357,0.0,0.125,0.125,0.21428571428571427,0.3187924446903525,0.5837739318311598,0.43050847457627117
datafly_shuffled,1,0.7399412046628999,0.551255940257977,0.4,0.19082337010751113,0.2962962962962963,0.18888888888888888,0.2579704185640458,0.0033841478847599364,0.0625,0.0625,0.19047619047619047,0.2795101556084463,0.6193087005096872,0.47796610169491527
mondrian,1,0.4035300514019527,0.4460285132382892,0.7666666666666667,0.02567371316878744,0.5274697644011968,0.15519348268839103,0.2375073036269676,0.027602138947398266,0.006493506493506494,0.005021374321113374,0.11713218892444961,0.20925477062427206,0.6270215357902594,0.4610169491525424
datafly,2,0.8099464808506587,0.5566870332654447,0.26666666666666666,0.27798172029778834,0.2777777777777778,0.21111111111111108,0.2579704185640458,0.002793473510747657,0.125,0.125,0.21428571428571427,0.31110135811670275,0.6031863629025899,0.43389830508474575
datafly_shuffled,2,0.8424145185073939,0.570264765784114,0.2,0.4041578464407306,0.33333333333333337,0.2,0.20906053788731357,0.0,0.125,0.125,0.21428571428571427,0.3187924446903525,0.5837739318311598,0.43050847457627117
mondrian,2,0.4407391297034991,0.428377460964019,0.8,0.021138584588213553,0.5956098664856302,0.1311835256845441,0.19290105973064164,0.06188561640545316,0.007246376811594204,0.006725552125763748,0.1116930139333398,0.24290044143475548,0.667234581168783,0.5152542372881356
datafly,3,0.7568738821694697,0.5498981670061099,0.3333333333333333,0.20667235401287443,0.37011893087928405,0.17786075280983632,0.20906053788731357,0.49392995598782785,0.0625,0.06313645621181263,0.190540846345327,0.3035019995036671,0.6095303043961304,0.4406779661016949
datafly_shuffled,3,0.8424145185073939,0.570264765784114,0.2,0.4041578464407306,0.33333333333333337,0.2,0.20906053788731357,0.0,0.125,0.125,0.21428571428571427,0.3187924446903525,0.5837739318311598,0.43050847457627117
mondrian,3,0.3047037651240156,0.41683638832315,0.9,0.009615486542328558,0.6871841291393226,0.1259560986648564,0.24832094535393892,0.029123913062844755,0.0036363636363636364,0.0031661003200844366,0.09099505382601106,0.24276712644947254,0.6574837353441526,0.4542372881355932
datafly,4,0.8424145185073939,0.570264765784114,0.2,0.4041578464407306,0.33333333333333337,0.2,0.20906053788731357,0.0,0.125,0.125,0.21428571428571427,0.3187924446903525,0.5837739318311598,0.43050847457627117
