algo,no,dse
datafly,1,
datafly,2,
datafly,3,
datafly,4,
datafly,5,
datafly,6,
datafly,7,
datafly,8,
datafly,9,
datafly,10,
datafly,11,
datafly,12,
datafly,13,
datafly,14,
datafly,15,
datafly,16,
datafly,17,
datafly,18,
datafly,19,
datafly,20,
datafly,21,
datafly,22,
datafly,23,
datafly,24,
datafly,25,
datafly,26,
datafly,27,
datafly,28,
datafly,29,
datafly,30,
datafly,31,
datafly,32,
datafly,33,
datafly,34,
datafly,35,
datafly,36,
datafly,37,
datafly,38,
datafly,39,
datafly,40,
datafly_shuffled,1,
datafly_shuffled,2,
datafly_shuffled,3,
datafly_shuffled,4,
datafly_shuffled,5,
datafly_shuffled,6,
datafly_shuffled,7,
datafly_shuffled,8,
datafly_shuffled,9,
datafly_shuffled,10,
datafly_shuffled,11,
datafly_shuffled,12,
datafly_shuffled,13,
datafly_shuffled,14,
datafly_shuffled,15,
datafly_shuffled,16,
datafly_shuffled,17,
datafly_shuffled,18,
datafly_shuffled,19,
datafly_shuffled,20,
datafly_shuffled,21,
datafly_shuffled,22,
datafly_shuffled,23,
datafly_shuffled,24,
datafly_shuffled,25,
datafly_shuffled,26,
datafly_shuffled,27,
datafly_shuffled,28,
datafly_shuffled,29,
datafly_shuffled,30,
datafly_shuffled,31,
datafly_shuffled,32,
datafly_shuffled,33,
datafly_shuffled,34,
datafly_shuffled,35,
datafly_shuffled,36,
datafly_shuffled,37,
datafly_shuffled,38,
datafly_shuffled,39,
datafly_shuffled,40,
mondrian,1,
mondrian,2,
mondrian,3,
mondrian,4,
mondrian,5,
mondrian,6,
mondrian,7,
mondrian,8,
mondrian,9,
mondrian,10,
mondrian,11,
mondrian,12,
mondrian,13,
mondrian,14,
mondrian,15,
mondrian,16,
mondrian,17,
mondrian,18,
mondrian,19,
mondrian,20,
mondrian,21,
mondrian,22,
mondrian,23,
mondrian,24,
mondrian,25,
mondrian,26,
mondrian,27,
mondrian,28,
mondrian,29,
mondrian,30,
mondrian,31,
mondrian,32,
mondrian,33,
mondrian,34,
mondrian,35,
mondrian,36,
mondrian,37,
mondrian,38,
mondrian,39,
mondrian,40,
