algo,no,bivariate_corr
datafly,1,0.49324493639202327
datafly,2,0.4921031369127917
datafly,3,0.4842680807801193
datafly,4,0.47965170539438096
datafly,5,0.0
datafly,6,0.0
datafly,7,0.48504955539080485
datafly,8,0.47965170539438096
datafly,9,0.0
datafly,10,0.0
datafly,11,0.0017210526212299156
datafly,12,0.4921966230949723
datafly,13,0.4836775704870452
datafly,14,0.4800806431546762
datafly,15,0.0
datafly,16,0.4836775704870452
datafly,17,0.48848550031958604
datafly,18,0.4940770752628043
datafly,19,0.4882108099829908
datafly,20,0.0
datafly,21,0.0
datafly,22,0.48478897121521713
datafly,23,0.0
datafly,24,0.0
datafly,25,0.48033841444971004
datafly,26,0.48970045263739226
datafly,27,0.47612706436009544
datafly,28,0.0
datafly,29,0.49213494183072504
datafly,30,0.47930025524812403
datafly,31,0.0
datafly,32,0.0017210526212299156
datafly,33,0.4494273049127988
datafly,34,0.47965170539438096
datafly,35,0.46596012958007704
datafly,36,0.4926218126456711
datafly,37,0.0
datafly,38,0.0
datafly,39,0.0
datafly,40,0.4924503396560307
datafly,41,0.4889992947126908
datafly,42,0.0017210526212299156
datafly,43,0.0
datafly,44,0.48596770895980457
datafly,45,0.0
datafly,46,0.4836775704870452
datafly,47,0.0
datafly,48,0.4774875056453019
datafly,49,0.4494273049127988
datafly,50,0.0
datafly,51,0.49322387218498065
datafly,52,0.0
datafly,53,0.0
datafly,54,0.483728723795953
datafly,55,0.4893132809983232
datafly,56,0.48070838075880784
datafly,57,0.487933268352835
datafly,58,0.47612706436009544
datafly,59,0.48848550031958604
datafly,60,0.47612706436009544
datafly,61,0.0
datafly,62,0.4924503396560307
datafly,63,0.0
datafly,64,0.4842680807801193
datafly,65,0.0
datafly,66,0.0
datafly,67,0.4893132809983232
datafly,68,0.0
datafly,69,0.4926218126456711
datafly,70,0.0
datafly,71,0.0
datafly,72,0.0
datafly,73,0.0017210526212299156
datafly,74,0.48848550031958604
datafly,75,0.47930025524812403
datafly,76,0.47930025524812403
datafly,77,0.0
datafly,78,0.4940770752628043
datafly,79,0.002985324436444725
datafly,80,0.4904968435047582
datafly,81,0.0
datafly,82,0.48033841444971004
datafly,83,0.4842153760920289
datafly,84,0.49080903106363627
datafly,85,0.47965170539438096
datafly,86,0.4926218126456711
datafly,87,0.49295085153873525
datafly,88,0.4948678331563962
datafly,89,0.4494273049127988
datafly,90,0.483728723795953
datafly,91,0.4926218126456711
datafly,92,0.4836775704870452
datafly,93,0.49132133651453513
datafly,94,0.0
datafly,95,0.0
datafly,96,0.4800806431546762
datafly,97,0.49295085153873525
datafly,98,0.0
datafly,99,0.0
datafly,100,0.0
datafly,101,0.4940770752628043
datafly,102,0.001978692854381355
datafly,103,0.0017210526212299156
datafly,104,0.49132133651453513
datafly,105,0.0
datafly,106,0.4842680807801193
datafly,107,0.48848550031958604
datafly,108,0.0
datafly,109,0.0
datafly,110,0.47612706436009544
datafly,111,0.0
datafly,112,0.4800806431546762
datafly,113,0.0
datafly,114,0.0
datafly,115,0.47612706436009544
datafly,116,0.0017210526212299156
datafly,117,0.48940002775189245
datafly,118,0.4755255828836372
datafly,119,0.0
datafly,120,0.0
datafly,121,0.47612706436009544
datafly,122,0.47612706436009544
datafly,123,0.0017210526212299156
datafly,124,0.0
datafly,125,0.0
datafly,126,0.49132133651453513
datafly,127,0.0
datafly,128,0.001978692854381355
datafly,129,0.0
datafly,130,0.0
datafly,131,0.002733906399627977
datafly,132,0.48033841444971004
datafly,133,0.47612706436009544
datafly,134,0.48033841444971004
datafly,135,0.4904968435047582
datafly,136,0.4896895432022007
datafly,137,0.4953113304187932
datafly,138,0.4940770752628043
datafly,139,0.47930025524812403
datafly,140,0.0
datafly,141,0.002733906399627977
datafly,142,0.48070838075880784
datafly,143,0.0
datafly,144,0.47612706436009544
datafly,145,0.48596770895980457
datafly,146,0.4948678331563962
datafly,147,0.4893132809983232
datafly,148,0.4937341180317266
datafly,149,0.0017210526212299156
datafly,150,0.0
datafly,151,0.48848550031958604
datafly,152,0.4924503396560307
datafly,153,0.0021298641456990453
datafly,154,0.0
datafly,155,0.47612706436009544
datafly,156,0.0
datafly,157,0.0017210526212299156
datafly,158,0.0021298641456990453
datafly,159,0.0
datafly,160,0.0
datafly,161,0.48033841444971004
datafly,162,0.0
datafly,163,0.47612706436009544
datafly,164,0.49132133651453513
datafly,165,0.4755255828836372
datafly,166,0.4926218126456711
datafly,167,0.48033841444971004
datafly,168,0.49132133651453513
datafly,169,0.48033841444971004
datafly,170,0.0
datafly,171,0.47930025524812403
datafly,172,0.49132133651453513
datafly,173,0.48033841444971004
datafly,174,0.47930025524812403
datafly,175,0.0
datafly,176,0.4755255828836372
datafly,177,0.0017210526212299156
datafly,178,0.0
datafly,179,0.4494273049127988
datafly,180,0.48970045263739226
datafly,181,0.47965170539438096
datafly,182,0.4882108099829908
datafly,183,0.4921031369127917
datafly,184,0.49099791820768557
datafly,185,0.483728723795953
datafly,186,0.4904968435047582
datafly,187,0.4924503396560307
datafly,188,0.49432563347211705
datafly,189,0.483728723795953
datafly,190,0.0
datafly,191,0.0
datafly,192,0.47612706436009544
datafly,193,0.0
datafly,194,0.4800806431546762
datafly,195,0.49132133651453513
datafly,196,0.0
datafly,197,0.47965170539438096
datafly,198,0.48848550031958604
datafly,199,0.48596770895980457
datafly,200,0.0017210526212299156
datafly_shuffled,1,0.47612706436009544
datafly_shuffled,2,0.47930025524812403
datafly_shuffled,3,0.0
datafly_shuffled,4,0.47400771852576995
datafly_shuffled,5,0.48671006151162033
datafly_shuffled,6,0.4822388187447427
datafly_shuffled,7,0.4922510104439203
datafly_shuffled,8,0.49362412265959127
datafly_shuffled,9,0.0
datafly_shuffled,10,0.4842680807801193
datafly_shuffled,11,0.0021298641456990453
datafly_shuffled,12,0.47756192033178635
datafly_shuffled,13,0.483728723795953
datafly_shuffled,14,0.0
datafly_shuffled,15,0.0
datafly_shuffled,16,0.002239805109209736
datafly_shuffled,17,0.002239805109209736
datafly_shuffled,18,0.0
datafly_shuffled,19,0.49362412265959127
datafly_shuffled,20,0.0017815482943403054
datafly_shuffled,21,0.47930025524812403
datafly_shuffled,22,0.0
datafly_shuffled,23,0.0
datafly_shuffled,24,0.47270013209394857
datafly_shuffled,25,0.49338971574674784
datafly_shuffled,26,0.4833592660080057
datafly_shuffled,27,0.4777582969735321
datafly_shuffled,28,0.48848550031958604
datafly_shuffled,29,0.49362412265959127
datafly_shuffled,30,0.487933268352835
datafly_shuffled,31,0.0
datafly_shuffled,32,0.0
datafly_shuffled,33,0.002239805109209736
datafly_shuffled,34,0.47930025524812403
datafly_shuffled,35,0.4940770752628043
datafly_shuffled,36,0.0
datafly_shuffled,37,0.0
datafly_shuffled,38,0.0013702059312433639
datafly_shuffled,39,0.0
datafly_shuffled,40,0.0
datafly_shuffled,41,0.49086021957532866
datafly_shuffled,42,0.0
datafly_shuffled,43,0.47756192033178635
datafly_shuffled,44,0.00128752763563352
datafly_shuffled,45,0.0
datafly_shuffled,46,0.00128752763563352
datafly_shuffled,47,0.0017210526212299156
datafly_shuffled,48,0.0
datafly_shuffled,49,0.4885188132097298
datafly_shuffled,50,0.0
datafly_shuffled,51,0.0
datafly_shuffled,52,0.0
datafly_shuffled,53,0.0
datafly_shuffled,54,0.0
datafly_shuffled,55,0.4800806431546762
datafly_shuffled,56,0.48941475805943624
datafly_shuffled,57,0.4755255828836372
datafly_shuffled,58,0.4882108099829908
datafly_shuffled,59,0.48848550031958604
datafly_shuffled,60,0.48070838075880784
datafly_shuffled,61,0.47282525317681046
datafly_shuffled,62,0.0
datafly_shuffled,63,0.0
datafly_shuffled,64,0.4842680807801193
datafly_shuffled,65,0.4921031369127917
datafly_shuffled,66,0.47494424038466665
datafly_shuffled,67,0.48270919776666354
datafly_shuffled,68,0.0
datafly_shuffled,69,0.49184047191403957
datafly_shuffled,70,0.0
datafly_shuffled,71,0.44800163021003214
datafly_shuffled,72,0.0017210526212299156
datafly_shuffled,73,0.4893132809983232
datafly_shuffled,74,0.0017210526212299156
datafly_shuffled,75,0.0
datafly_shuffled,76,0.0
datafly_shuffled,77,0.48848550031958604
datafly_shuffled,78,0.0
datafly_shuffled,79,0.4494273049127988
datafly_shuffled,80,0.4899760954010606
datafly_shuffled,81,0.0
datafly_shuffled,82,0.0
datafly_shuffled,83,0.4899760954010606
datafly_shuffled,84,0.47282525317681046
datafly_shuffled,85,0.0
datafly_shuffled,86,0.4894766007098353
datafly_shuffled,87,0.4833592660080057
datafly_shuffled,88,0.0
datafly_shuffled,89,0.00213340387697869
datafly_shuffled,90,0.0
datafly_shuffled,91,0.49093601320515023
datafly_shuffled,92,0.0
datafly_shuffled,93,0.4940770752628043
datafly_shuffled,94,0.49132133651453513
datafly_shuffled,95,0.49373348595443955
datafly_shuffled,96,0.0
datafly_shuffled,97,0.47756192033178635
datafly_shuffled,98,0.49418875450877964
datafly_shuffled,99,0.48478897121521713
datafly_shuffled,100,0.49213494183072504
datafly_shuffled,101,0.4899760954010606
datafly_shuffled,102,0.4809299146384185
datafly_shuffled,103,0.00128752763563352
datafly_shuffled,104,0.49295085153873525
datafly_shuffled,105,0.002239805109209736
datafly_shuffled,106,0.48504955539080485
datafly_shuffled,107,0.0
datafly_shuffled,108,0.48848550031958604
datafly_shuffled,109,0.4921031369127917
datafly_shuffled,110,0.4799430634181422
datafly_shuffled,111,0.0
datafly_shuffled,112,0.0
datafly_shuffled,113,0.48070838075880784
datafly_shuffled,114,0.0
datafly_shuffled,115,0.0
datafly_shuffled,116,0.0
datafly_shuffled,117,0.0
datafly_shuffled,118,0.47749760898825905
datafly_shuffled,119,0.0
datafly_shuffled,120,0.0
datafly_shuffled,121,0.483728723795953
datafly_shuffled,122,0.0
datafly_shuffled,123,0.4899760954010606
datafly_shuffled,124,0.0
datafly_shuffled,125,0.0
datafly_shuffled,126,0.0
datafly_shuffled,127,0.0
datafly_shuffled,128,0.0
datafly_shuffled,129,0.0
datafly_shuffled,130,0.4833592660080057
datafly_shuffled,131,0.4940770752628043
datafly_shuffled,132,0.4868361474920109
datafly_shuffled,133,0.47494424038466665
datafly_shuffled,134,0.45148885261761373
datafly_shuffled,135,0.4799430634181422
datafly_shuffled,136,0.002733906399627977
datafly_shuffled,137,0.4898773387646761
datafly_shuffled,138,0.49418875450877964
datafly_shuffled,139,0.0039014842066903716
datafly_shuffled,140,0.0
datafly_shuffled,141,0.0
datafly_shuffled,142,0.49373348595443955
datafly_shuffled,143,0.03645266269779592
datafly_shuffled,144,0.03581103134139462
datafly_shuffled,145,0.0
datafly_shuffled,146,0.0
datafly_shuffled,147,0.0013702059312433639
datafly_shuffled,148,0.0
datafly_shuffled,149,0.0
datafly_shuffled,150,0.49373348595443955
datafly_shuffled,151,0.002239805109209736
datafly_shuffled,152,0.487933268352835
datafly_shuffled,153,0.0
datafly_shuffled,154,0.0
datafly_shuffled,155,0.4833592660080057
datafly_shuffled,156,0.48848550031958604
datafly_shuffled,157,0.0024949029522380872
datafly_shuffled,158,0.0024949029522380872
datafly_shuffled,159,0.0
datafly_shuffled,160,0.48478897121521713
datafly_shuffled,161,0.0
datafly_shuffled,162,0.0
datafly_shuffled,163,0.49373348595443955
datafly_shuffled,164,0.49467122978096456
datafly_shuffled,165,0.0
datafly_shuffled,166,0.0
datafly_shuffled,167,0.005692745201229533
datafly_shuffled,168,0.0
datafly_shuffled,169,0.0
datafly_shuffled,170,0.00213340387697869
datafly_shuffled,171,0.47494424038466665
datafly_shuffled,172,0.48033841444971004
datafly_shuffled,173,0.0
datafly_shuffled,174,0.0
datafly_shuffled,175,0.49373348595443955
datafly_shuffled,176,0.0022070899029884815
datafly_shuffled,177,0.0
datafly_shuffled,178,0.48848550031958604
datafly_shuffled,179,0.00128752763563352
datafly_shuffled,180,0.48941475805943624
datafly_shuffled,181,0.490746444145145
datafly_shuffled,182,0.48197911444739105
datafly_shuffled,183,0.00128752763563352
datafly_shuffled,184,0.47930025524812403
datafly_shuffled,185,0.49338971574674784
datafly_shuffled,186,0.002733906399627977
datafly_shuffled,187,0.47372233757998194
datafly_shuffled,188,0.4842680807801193
datafly_shuffled,189,0.47756192033178635
datafly_shuffled,190,0.0
datafly_shuffled,191,0.4844923968452518
datafly_shuffled,192,0.002733906399627977
datafly_shuffled,193,0.004093415483253593
datafly_shuffled,194,0.4729933021497107
datafly_shuffled,195,0.47756192033178635
datafly_shuffled,196,0.0024949029522380872
datafly_shuffled,197,0.0
datafly_shuffled,198,0.0
datafly_shuffled,199,0.0
datafly_shuffled,200,0.49093601320515023
mondrian,1,0.038500281690535036
mondrian,2,0.031083201595707988
mondrian,3,0.0389607784454469
mondrian,4,0.03695204981273892
mondrian,5,0.02945165286739035
mondrian,6,0.029311669098565387
mondrian,7,0.03127034709490046
mondrian,8,0.062236049826533524
mondrian,9,0.028548945129699264
mondrian,10,0.026717217352508038
mondrian,11,0.04379147787539467
mondrian,12,0.0243233808739644
mondrian,13,0.051458329688045104
mondrian,14,0.04004577267518633
mondrian,15,0.06636464854020144
mondrian,16,0.028616593664965287
mondrian,17,0.016670476944119418
mondrian,18,0.056894797597114175
mondrian,19,0.03405195698237545
mondrian,20,0.02742640965845744
mondrian,21,0.026050241082912425
mondrian,22,0.032756098880574236
mondrian,23,0.04864403006196657
mondrian,24,0.025282030999174827
mondrian,25,0.03611508155375167
mondrian,26,0.03866341472414506
mondrian,27,0.02198100087384297
mondrian,28,0.03419406156684621
mondrian,29,0.022480705260705787
mondrian,30,0.03141335726046286
mondrian,31,0.0252333111235286
mondrian,32,0.04658694752192828
mondrian,33,0.03244809816462116
mondrian,34,0.04588847296236592
mondrian,35,0.04747414105756219
mondrian,36,0.0352917287195703
mondrian,37,0.021358595869142065
mondrian,38,0.04077304322348725
mondrian,39,0.03791506594527261
mondrian,40,0.038464698074032175
mondrian,41,0.02139389135345543
mondrian,42,0.02553206693544088
mondrian,43,0.030443305573732538
