Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(analysis.py:17551): Gdk-CRITICAL **: 15:52:34.350: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
1 datafly {'dm': 0.4666666666666667, 'cm': 0.5553789083200847, 'entropy': 0.7064957820185369, 'acc': 0.35185185185185186}
1 mondrian {'dm': 0.8, 'cm': 0.4462109167991521, 'entropy': 0.4472577991438915, 'acc': 0.48677248677248675}
2 datafly {'dm': 0.4666666666666667, 'cm': 0.5315315315315315, 'entropy': 0.6814090409222198, 'acc': 0.3201058201058201}
2 mondrian {'dm': 0.8333333333333334, 'cm': 0.4758876523582406, 'entropy': 0.4938734616726556, 'acc': 0.42857142857142855}
3 datafly {'dm': 0.4, 'cm': 0.5527291997880233, 'entropy': 0.7279202405619292, 'acc': 0.4365079365079365}
3 mondrian {'dm': 0.8333333333333334, 'cm': 0.43084260731319557, 'entropy': 0.4293612216137347, 'acc': 0.3915343915343915}
4 datafly {'dm': 0.3333333333333333, 'cm': 0.5728669846316905, 'entropy': 0.753819625608721, 'acc': 0.3783068783068783}
4 mondrian {'dm': 0.8666666666666667, 'cm': 0.3958664546899841, 'entropy': 0.37719076687661995, 'acc': 0.4947089947089947}
5 datafly {'dm': 0.3333333333333333, 'cm': 0.5786963434022258, 'entropy': 0.8008228203507648, 'acc': 0.36507936507936506}
5 mondrian {'dm': 0.8, 'cm': 0.47058823529411764, 'entropy': 0.5043029559571385, 'acc': 0.35714285714285715}
6 datafly {'dm': 0.4666666666666667, 'cm': 0.5209326974032856, 'entropy': 0.7238520235279341, 'acc': 0.3333333333333333}
6 mondrian {'dm': 0.8333333333333334, 'cm': 0.4138844727080021, 'entropy': 0.43671757000993944, 'acc': 0.3783068783068783}
7 datafly {'dm': 0.4666666666666667, 'cm': 0.5633280339162692, 'entropy': 0.699756272039084, 'acc': 0.3333333333333333}
7 mondrian {'dm': 0.8, 'cm': 0.41017488076311603, 'entropy': 0.37317380063245514, 'acc': 0.47354497354497355}
8 datafly {'dm': 0.4666666666666667, 'cm': 0.5691573926868044, 'entropy': 0.7110846533869185, 'acc': 0.3941798941798942}
8 mondrian {'dm': 0.8, 'cm': 0.47111817700052994, 'entropy': 0.527273606186745, 'acc': 0.4576719576719577}
9 datafly {'dm': 0.3333333333333333, 'cm': 0.5850556438791733, 'entropy': 0.8302429683498823, 'acc': 0.34656084656084657}
9 mondrian {'dm': 0.8, 'cm': 0.38897721250662426, 'entropy': 0.3564392660365074, 'acc': 0.4365079365079365}
10 datafly {'dm': 0.4666666666666667, 'cm': 0.5564387917329093, 'entropy': 0.6968338800097424, 'acc': 0.41534391534391535}
10 mondrian {'dm': 0.8666666666666667, 'cm': 0.43296237413884475, 'entropy': 0.504231243344643, 'acc': 0.36243386243386244}
11 datafly {'dm': 0.4, 'cm': 0.5930047694753577, 'entropy': 0.7930281662825406, 'acc': 0.35978835978835977}
11 mondrian {'dm': 0.8666666666666667, 'cm': 0.42183359830418654, 'entropy': 0.4336201103152227, 'acc': 0.37566137566137564}
12 datafly {'dm': 0.4, 'cm': 0.5993640699523053, 'entropy': 0.833451237592027, 'acc': 0.3201058201058201}
