algo,no,precision,dm,cm,entropy,discern,ilm,auroc,hellinger,bivariate_corr,lr_acc
datafly_shuffled,41,0.4092916445857623,0.3333333333333333,0.570217276099629,0.7535332390931283,0.20200496016450376,0.18768768768768768,,0.2194271521811627,0.4908602195753287,0.36507936507936506
mondrian,29,0.6609747001903865,0.9,0.40646528881822996,0.3533156462369377,0.010935559144667907,0.13473473473473474,,0.2285076281062332,0.022480705260705787,0.4603174603174603
datafly,183,0.4018135782841665,0.3333333333333333,0.5516693163751988,0.7678572939637355,0.2563078368745628,0.1836954601660484,,0.2194271521811627,0.4921031369127917,0.3624338624338624
datafly,13,0.411175881764117,0.3333333333333333,0.5421303656597775,0.7515458995755966,0.20407979287620173,0.1799034328446093,,0.2194271521811627,0.4836775704870452,0.3201058201058201
datafly,9,0.33333333333333337,0.2,0.5866454689984102,0.8374476140849348,0.3836179769033037,0.2,,0.2194271521811627,0.0,0.3915343915343915
datafly_shuffled,11,0.3035388329505977,0.26666666666666666,0.5802861685214626,0.8086331977355968,0.26883939957913583,0.2119178001530943,,0.2484901666822829,0.0021298641456990453,0.41534391534391535
mondrian,79,0.6584035015407563,0.9,0.3826179120296767,0.3372702951858048,0.01180615760247295,0.11626332214567513,,0.2858452768788636,0.030861100307534993,0.455026455026455
mondrian,39,0.6799348367975819,0.8666666666666667,0.4250132485426603,0.3897747985152447,0.0320922250221792,0.10830830830830827,,0.20040456518406688,0.03791506594527262,0.4682539682539682
mondrian,31,0.5330821017095527,0.8666666666666667,0.4531001589825121,0.4057614268315858,0.02003190883766961,0.16663133721957252,,0.3071625760397268,0.0252333111235286,0.3624338624338624
datafly_shuffled,177,0.33333333333333337,0.2,0.5866454689984102,0.8374476140849348,0.3836179769033037,0.2,,0.2194271521811627,0.0,0.3915343915343915
datafly,168,0.3701740956642917,0.3333333333333333,0.5659777424483307,0.7526323310718299,0.2002648866017425,0.1778425484307837,,0.2194271521811627,0.4913213365145351,0.3677248677248677
mondrian,170,0.5223262478164439,0.7666666666666667,0.4515103338632751,0.4532815777426898,0.031398554638057116,0.15843490549372896,,0.22069493685890154,0.0277982110357445,0.3492063492063492
datafly,174,0.3701740956642917,0.3333333333333333,0.5728669846316905,0.7687794602738245,0.2480006425578295,0.1778425484307837,,0.1741647884297758,0.4793002552481239,0.3703703703703704
mondrian,130,0.6552434787728905,0.8666666666666667,0.4011658717541071,0.3116519262848259,0.013073299615897578,0.14382617912029674,,0.20447386121302266,0.029641924989926138,0.417989417989418
mondrian,16,0.6080786669021963,0.8666666666666667,0.4096449390567037,0.3631051996370331,0.01544357412682485,0.14640522875816994,,0.24943232215595404,0.028616593664965287,0.4100529100529101
mondrian,71,0.5880193919409606,0.8333333333333334,0.39109697933227344,0.357877012129178,0.02749771187066614,0.13638933050697752,,0.16657694021132832,0.030840883543022782,0.4523809523809524
datafly,16,0.411175881764117,0.3333333333333333,0.5421303656597775,0.7515458995755966,0.20407979287620173,0.1799034328446093,,0.2194271521811627,0.4836775704870452,0.3201058201058201
mondrian,136,0.5363598893010657,0.8333333333333334,0.44144144144144143,0.4087939555027917,0.02016446447382574,0.16749102043219685,,0.1945055859089117,0.040878182472375436,0.4735449735449736
datafly_shuffled,24,0.4039039039039039,0.3333333333333333,0.5808161102278749,0.7627389351121876,0.22379014196090788,0.19092033209680268,,0.23371703592931226,0.4727001320939486,0.3677248677248677
datafly_shuffled,65,0.4018135782841665,0.3333333333333333,0.5516693163751988,0.7678572939637355,0.2563078368745628,0.1836954601660484,,0.2194271521811627,0.4921031369127917,0.3624338624338624
datafly_shuffled,71,0.2478360713654832,0.3333333333333333,0.5951245363010069,0.8747475907386042,0.4354202701719769,0.2340929164458576,,0.2361686216744319,0.44800163021003214,0.3888888888888889
mondrian,33,0.5372823804196353,0.8333333333333334,0.42448330683624796,0.42600533674936425,0.020649752904499,0.17118883589471826,,0.2395327431322271,0.032448098164621166,0.4232804232804233
datafly,42,0.2592592592592593,0.26666666666666666,0.5670376258611552,0.8116816256835923,0.2825010552495823,0.2111111111111111,,0.2484901666822829,0.0017210526212299154,0.4259259259259259
datafly_shuffled,80,0.4039333451098157,0.3333333333333333,0.5744568097509274,0.7623112731972462,0.2382010739814911,0.1908320084790673,,0.2194271521811627,0.4899760954010606,0.3544973544973545
datafly,106,0.4137961490902667,0.3333333333333333,0.5691573926868044,0.7499423099142843,0.1977261091634981,0.17883177294941996,,0.2361863959046332,0.4842680807801193,0.3862433862433862
mondrian,113,0.5103142358044319,0.8,0.4409114997350291,0.4144816724425911,0.02169110099531871,0.17965612671495013,,0.25023217898873257,0.026991225197962224,0.4259259259259259
datafly,172,0.3701740956642917,0.3333333333333333,0.5659777424483307,0.7526323310718299,0.2002648866017425,0.1778425484307837,,0.2194271521811627,0.4913213365145351,0.3677248677248677
datafly,125,0.2222222222222222,0.13333333333333333,0.6104928457869634,0.8966142679907196,0.5336181594481417,0.2333333333333333,,0.2484901666822829,0.0,0.3862433862433862
datafly,191,0.33333333333333337,0.2,0.5866454689984102,0.8374476140849348,0.3836179769033037,0.2,,0.2194271521811627,0.0,0.3915343915343915
datafly,67,0.38874168285933003,0.3333333333333333,0.5834658187599364,0.8285505804673547,0.3750046689352777,0.18885355944179474,,0.1741647884297758,0.4893132809983232,0.3862433862433862
datafly_shuffled,169,0.33333333333333337,0.2,0.5866454689984102,0.8374476140849348,0.3836179769033037,0.2,,0.2194271521811627,0.0,0.3915343915343915
datafly_shuffled,75,0.33333333333333337,0.2,0.5866454689984102,0.8374476140849348,0.3836179769033037,0.2,,0.2194271521811627,0.0,0.3915343915343915
datafly,98,0.3703703703703704,0.3333333333333333,0.5749867514573397,0.7853832271680281,0.2976022875957413,0.17777777777777778,,0.1741647884297758,0.0,0.3915343915343915
mondrian,27,0.5679404895091171,0.8333333333333334,0.3995760466348702,0.3476377163853876,0.016859560392712924,0.1616263322145674,,0.2501303931565783,0.021981000873842967,0.462962962962963
datafly,198,0.29606076664900194,0.26666666666666666,0.5516693163751988,0.8155921031285617,0.29184285754004263,0.2148736972266384,,0.2484901666822829,0.4884855003195861,0.4100529100529101
mondrian,166,0.5654870556831341,0.8,0.43349231584525705,0.461598291289606,0.04744059499506988,0.15040923276217394,,0.17790007697156707,0.05653781480898805,0.5264550264550265
mondrian,125,0.6586586586586587,0.8666666666666667,0.4228934817170111,0.4168120940448036,0.016509074303893343,0.1245951834187128,,0.2211885983559571,0.03736362194786767,0.462962962962963
mondrian,21,0.6087460009028636,0.8,0.4276629570747218,0.4024243092164315,0.02639233266746593,0.1403756697874345,,0.2171707517202205,0.026050241082912425,0.4391534391534391
datafly,86,0.4068185832891715,0.3333333333333333,0.5325914149443561,0.7566520389184171,0.21102267515809084,0.18164635223458755,,0.2194271521811627,0.4926218126456711,0.35978835978835977
datafly_shuffled,72,0.2592592592592593,0.26666666666666666,0.5670376258611552,0.8116816256835923,0.2825010552495823,0.2111111111111111,,0.2484901666822829,0.0017210526212299154,0.4259259259259259
datafly,105,0.2222222222222222,0.13333333333333333,0.6104928457869634,0.8966142679907196,0.5336181594481417,0.2333333333333333,,0.2484901666822829,0.0,0.3862433862433862
datafly_shuffled,31,0.33333333333333337,0.2,0.5866454689984102,0.8374476140849348,0.3836179769033037,0.2,,0.2194271521811627,0.0,0.3915343915343915
datafly,76,0.3701740956642917,0.3333333333333333,0.5728669846316905,0.7687794602738245,0.2480006425578295,0.1778425484307837,,0.1741647884297758,0.4793002552481239,0.3703703703703704
mondrian,109,0.6352038312822628,0.8333333333333334,0.4096449390567037,0.38412754710400254,0.018150292815961942,0.12206912795148092,,0.2496965989217894,0.03865960499991228,0.4735449735449736
datafly,175,0.33333333333333337,0.2,0.5866454689984102,0.8374476140849348,0.3836179769033037,0.2,,0.2194271521811627,0.0,0.3915343915343915
mondrian,132,0.3711358417240769,0.7666666666666667,0.4822469528351882,0.5646854266440466,0.06530078193783423,0.20359182712123894,,0.2484901666822829,0.06519419186035738,0.4232804232804233
datafly_shuffled,166,0.33333333333333337,0.2,0.5866454689984102,0.8374476140849348,0.3836179769033037,0.2,,0.2194271521811627,0.0,0.3915343915343915
datafly,2,0.4018135782841665,0.3333333333333333,0.5516693163751988,0.7678572939637355,0.2563078368745628,0.1836954601660484,,0.2194271521811627,0.4921031369127917,0.3624338624338624
datafly,75,0.3701740956642917,0.3333333333333333,0.5728669846316905,0.7687794602738245,0.2480006425578295,0.1778425484307837,,0.1741647884297758,0.4793002552481239,0.3703703703703704
mondrian,84,0.6981491295216785,0.9,0.3826179120296767,0.3249287289153992,0.012341996911341342,0.12149208031560975,,0.22127114676281112,0.02758231489091524,0.4126984126984127
datafly_shuffled,1,0.3927456868633339,0.3333333333333333,0.5744568097509274,0.8029201196499012,0.3267117299661955,0.187299063769652,,0.1741647884297758,0.4761270643600954,0.3677248677248677
mondrian,144,0.6118275137882982,0.8333333333333334,0.4430312665606783,0.4375252053720189,0.02469382316010952,0.14942589648472,,0.22374050633774145,0.05071675530778265,0.4576719576719577
datafly,109,0.3703703703703704,0.3333333333333333,0.5818759936406995,0.7663029082181748,0.2392115298689693,0.17777777777777778,,0.2194271521811627,0.0,0.3915343915343915
mondrian,167,0.5924159453571218,0.8666666666666667,0.4329623741388448,0.4127267487282129,0.016736553255771437,0.1464758876523583,,0.2139155784966294,0.031990101516686326,0.3835978835978836
mondrian,195,0.7343421853225774,0.8666666666666667,0.3725490196078432,0.28416246488891617,0.011530374478097287,0.09208620385090976,,0.1885795280020412,0.02529427999245093,0.5105820105820106
datafly,68,0.33333333333333337,0.2,0.5866454689984102,0.8374476140849348,0.3836179769033037,0.2,,0.2194271521811627,0.0,0.3915343915343915
datafly,17,0.29606076664900194,0.26666666666666666,0.5516693163751988,0.8155921031285617,0.29184285754004263,0.2148736972266384,,0.2484901666822829,0.4884855003195861,0.4100529100529101
datafly,57,0.4967320261437909,0.4666666666666667,0.5267620561738209,0.6716116670867033,0.12238283359577665,0.15680386268621566,,0.2194271521811627,0.487933268352835,0.3439153439153439
datafly,180,0.4285560069873795,0.4666666666666667,0.5315315315315315,0.7595352783615289,0.2724678292806975,0.16559500677147734,,0.1741647884297758,0.4897004526373922,0.3703703703703704
datafly,72,0.3703703703703704,0.3333333333333333,0.5585585585585585,0.7513730694907146,0.19579731232214165,0.17777777777777778,,0.2194271521811627,0.0,0.4391534391534391
datafly_shuffled,112,0.33333333333333337,0.2,0.5866454689984102,0.8374476140849348,0.3836179769033037,0.2,,0.2194271521811627,0.0,0.3915343915343915
datafly_shuffled,133,0.40060648884178296,0.3333333333333333,0.5728669846316905,0.7707534749712923,0.24504734791838506,0.19282812223988693,,0.2255887121836961,0.4749442403846666,0.3915343915343915
datafly_shuffled,84,0.3146479813146481,0.4,0.5802861685214626,0.7317831678552943,0.1599539312996715,0.212076782665018,,0.22050581058747973,0.4728252531768105,0.3783068783068783
datafly,77,0.3703703703703704,0.3333333333333333,0.5585585585585585,0.7513730694907146,0.19579731232214165,0.17777777777777778,,0.2194271521811627,0.0,0.4391534391534391
mondrian,200,0.5670179983905475,0.8666666666666667,0.4122946475887652,0.3559152610661958,0.012747527289751174,0.15184596361066946,,0.24981777876180594,0.029219645419184623,0.4417989417989418
datafly,20,0.33333333333333337,0.2,0.5866454689984102,0.8374476140849348,0.3836179769033037,0.2,,0.2194271521811627,0.0,0.3915343915343915
