algo,no,entropy,cm,dm,discern,precision,ilm,hellinger,bivariate_corr,avg_eq_size,ambiguity,granularity,dse,auroc,lr_acc
datafly,1,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,1,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,1,0.6234651587391931,0.1198030634573304,0.9192546583850932,0.000680365958180312,0.5415072462261294,0.05805986462783516,0.4248540147653047,0.029728436400748105,0.0006527415143603133,0.0006551637371318242,0.03665234753857858,0.27451582670888885,0.5382395382395383,0.7199453551912568
datafly,2,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,2,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,2,0.6274582022191121,0.12609409190371992,0.9192546583850932,0.0006746800319848311,0.5597155001151677,0.05843953870540381,0.4329395171944487,0.030479273585793287,0.0006472491909385112,0.0006551921576173767,0.03622530407927055,0.2779091342107948,0.6375636059846586,0.773224043715847
datafly,3,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,3,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,3,0.6910865765238329,0.14934354485776805,0.8695652173913043,0.0022475867732189283,0.36277390820078415,0.07749556159768024,0.44333864155991703,0.03889574312852785,0.002150537634408602,0.0022478292814489763,0.0467455331299093,0.2772200984387686,0.6425761373129794,0.7636612021857924
datafly,4,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,4,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,4,0.6513907192670962,0.13594091903719913,0.9192546583850932,0.001055188198171885,0.5553982745125638,0.059505128821562385,0.3416671834009816,0.042522997531860764,0.0010131712259371832,0.0010825239562670262,0.03672356411573905,0.2780933835156701,0.5103668261562999,0.7117486338797814
datafly,5,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,5,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,5,0.6161960628146489,0.12308533916849015,0.9006211180124224,0.0006773733654458485,0.4954903352549257,0.06467346782723635,0.4263759622342949,0.021982462723396944,0.0006501950585175553,0.0006709853878361995,0.03878859356235099,0.2716163462355578,0.5810890863522442,0.7295081967213115
datafly,6,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,6,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,6,0.628551037025971,0.1225382932166302,0.906832298136646,0.000692635588391613,0.5019048569256233,0.06415326524795968,0.4318788769181039,0.023187762434791225,0.0006640106241699867,0.0007017570627164105,0.038610173297842366,0.27741509941345216,0.5360370623528519,0.6762295081967213
datafly,7,0.9189839650703618,0.15071115973741794,0.06211180124223601,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515214,0.4968628820345712,0.0625,0.03230990153172866,0.06032504515060549,0.2840270030813544,0.6756284651021494,0.8551912568306009
datafly_shuffled,7,0.9189839650703618,0.15071115973741794,0.06211180124223601,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515214,0.4968628820345712,0.0625,0.03230990153172866,0.06032504515060549,0.2840270030813544,0.6756284651021494,0.8551912568306009
mondrian,7,0.6690983400697208,0.1460612691466083,0.9006211180124224,0.0014430282165583748,0.4274162689120077,0.06915915347803284,0.4369749587800241,0.04060565929435317,0.0013774104683195593,0.0014055856660597312,0.04394706401523423,0.2755432520808537,0.4435634540897699,0.7349726775956285
datafly,8,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,8,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,8,0.6233463910840114,0.12035010940919035,0.906832298136646,0.000680365958180312,0.5028124893363364,0.06287137827702,0.4446543644421033,0.035781885769375486,0.0006523157208088715,0.0006734055685667997,0.0377392175436725,0.25900299486627004,0.4680185311764259,0.7144808743169399
datafly,9,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,9,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,9,0.6492179469696298,0.1337527352297593,0.9130434782608696,0.0010682059765668018,0.4870104898460591,0.06789270774890173,0.4517510915287067,0.03972153964452135,0.001024590163934426,0.0010632941125061687,0.039800591162392485,0.28667234802850483,0.5083770031138453,0.73224043715847
datafly,10,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,10,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,10,0.6683359105275528,0.14524070021881838,0.8260869565217391,0.0018352074944098368,0.42654783079751396,0.07014229712167716,0.43482305951959704,0.031582179926377234,0.0017543859649122807,0.0018251120719449468,0.04457752162744396,0.2802163758278293,0.6219336219336219,0.7923497267759563
datafly,11,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
