cm,k_val
0.0,1.0
0.21216216216216216,2.0
0.24513513513513513,3.0
0.2785135135135135,4.0
0.287972972972973,5.0
0.287972972972973,6.0
0.28783783783783784,7.0
0.3204054054054054,8.0
0.3204054054054054,9.0
0.3204054054054054,10.0
0.3204054054054054,11.0
0.3204054054054054,12.0
0.3204054054054054,13.0
0.3204054054054054,14.0
0.34702702702702704,15.0
0.34797297297297297,16.0
0.34797297297297297,17.0
0.34797297297297297,18.0
0.34797297297297297,19.0
0.34797297297297297,20.0
0.34797297297297297,21.0
0.34797297297297297,22.0
0.34797297297297297,23.0
0.34797297297297297,24.0
0.34797297297297297,25.0
0.34797297297297297,26.0
0.34797297297297297,27.0
0.34797297297297297,28.0
0.34945945945945944,29.0
0.3633783783783784,30.0
0.3641891891891892,31.0
0.3641891891891892,32.0
0.3641891891891892,33.0
0.3641891891891892,34.0
0.3641891891891892,35.0
0.3641891891891892,36.0
0.3641891891891892,37.0
0.3641891891891892,38.0
0.3641891891891892,39.0
0.3641891891891892,40.0
0.3641891891891892,41.0
0.3641891891891892,42.0
0.3641891891891892,43.0
0.3641891891891892,44.0
0.3641891891891892,45.0
0.3641891891891892,46.0
0.3641891891891892,47.0
0.3641891891891892,48.0
0.3641891891891892,49.0
0.3641891891891892,50.0
0.37972972972972974,100.0
0.40486486486486484,350.0
0.41527027027027025,600.0
0.41527027027027025,850.0
0.43824324324324326,1100.0
0.43824324324324326,1350.0
0.43824324324324326,1600.0
0.4358108108108108,1850.0
0.43824324324324326,2100.0
0.43824324324324326,2350.0
0.43824324324324326,2600.0
0.43824324324324326,2850.0
0.43824324324324326,3100.0
0.43824324324324326,3350.0
0.43824324324324326,3600.0
0.49513513513513513,3850.0
0.49513513513513513,4100.0
0.49513513513513513,4350.0
0.49513513513513513,4600.0
0.49513513513513513,4850.0
0.49513513513513513,5100.0
0.49513513513513513,5350.0
0.49513513513513513,5600.0
0.49513513513513513,5850.0
0.49513513513513513,6100.0
0.49513513513513513,6350.0
0.49513513513513513,6600.0
0.49513513513513513,6850.0
0.49513513513513513,7100.0
0.49513513513513513,7350.0
0.49513513513513513,7400.0
