k_val,cond_entropy
1,0.0
2,1627886.4692394482
3,1633343.5526072376
4,1638985.2710567666
5,1640908.2024463285
6,1640908.2024463285
7,1640934.556351304
8,1648317.795812896
9,1648349.6504722082
10,1648349.6504722082
11,1648349.6504722082
12,1648349.6504722082
13,1648349.6504722082
14,1648349.8752786038
15,1655587.192440398
16,1655736.268319835
17,1655736.268319835
18,1655736.268319835
19,1655736.268319835
20,1655736.268319835
21,1655736.268319835
22,1655736.268319835
23,1655736.268319835
24,1655736.268319835
25,1655736.268319835
26,1655736.268319835
27,1655736.268319835
28,1655736.268319835
29,1657331.841996782
30,1663068.778943968
31,1663128.5402334817
32,1663128.5402334817
33,1663128.5402334817
34,1663128.5402334817
35,1663128.5402334817
36,1663128.5402334817
37,1663128.5402334817
38,1663128.5402334817
39,1663128.5402334817
40,1663128.5402334817
41,1663128.5402334817
42,1663128.5402334817
43,1663128.5402334817
44,1663128.5402334817
45,1663128.5402334817
46,1663128.5402334817
47,1663128.5402334817
48,1663128.5402334817
49,1663128.5402334817
50,1663128.5402334817
100,1670523.706216071
350,1685324.4630606372
600,1692726.4869957312
850,1692726.4869957312
1100,1700126.3479416582
1350,1700126.3479416582
1600,1700126.3479416582
1850,1703823.4467146446
2100,1707526.5454853477
2350,1707526.5454853477
2600,1707526.5454853477
2850,1707526.5454853477
3100,1707526.5454853477
3350,1707526.5454853477
3600,1707526.5454853477
3850,1714926.5450954442
4100,1714926.5450954442
4350,1714926.5450954442
4600,1714926.5450954442
4850,1714926.5450954442
5100,1714926.5450954442
5350,1714926.5450954442
5600,1714926.5450954442
5850,1714926.5450954442
6100,1714926.5450954442
6350,1714926.5450954442
6600,1714926.5450954442
6850,1714926.5450954442
7100,1714926.5450954442
7350,1714926.5450954442
7400,1714926.5450954442
