algo,no,lr_acc,auroc
datafly,2,0.5682432432432433,0.5795609786388476
datafly_shuffled,2,0.5155405405405405,0.5479457058531312
mondrian,2,0.6094594594594595,0.7222666637444843
datafly,3,0.5675675675675675,0.5721925133689839
datafly_shuffled,3,0.5304054054054054,0.6418226381461676
mondrian,3,0.597972972972973,0.7067261330761813
datafly,4,0.5804054054054054,0.7171373206510622
datafly_shuffled,4,0.6162162162162163,0.6895172189591187
mondrian,4,0.5168918918918919,0.8012715145670786
datafly,5,0.5831081081081081,0.5877887481371088
datafly_shuffled,5,0.5486486486486486,0.6862781625317788
mondrian,5,0.6087837837837838,0.7633817685047193
datafly,6,0.6148648648648649,0.6185355848747844
datafly_shuffled,6,0.6317567567567568,0.6666091362029164
mondrian,6,0.5851351351351352,0.7341782092866953
datafly,7,0.5364864864864864,0.676661443265831
datafly_shuffled,7,0.577027027027027,0.5794230881622396
mondrian,7,0.5952702702702702,0.7752531340405014
datafly,8,0.5310810810810811,0.6613720376377078
datafly_shuffled,8,0.5601351351351351,0.6435430729668916
mondrian,8,0.5662162162162162,0.7761973641915783
datafly,9,0.5945945945945946,0.6630751220011104
datafly_shuffled,9,0.5540540540540541,0.5948047251687559
mondrian,9,0.575,0.8133200374039333
datafly,10,0.6344594594594595,0.6610049384880629
datafly_shuffled,10,0.5216216216216216,0.5634926287951842
mondrian,10,0.5506756756756757,0.8044201659799539
datafly,11,0.5452702702702703,0.6275103372198357
datafly_shuffled,11,0.6331081081081081,0.6972655679261273
mondrian,11,0.5344594594594595,0.7070055667572542
datafly,12,0.6,0.6551897957394582
datafly_shuffled,12,0.6148648648648649,0.6567212018935741
mondrian,12,0.5398648648648648,0.6995503492007831
datafly,13,0.5418918918918919,0.6347683074720201
datafly_shuffled,13,0.5837837837837838,0.5819252067443967
mondrian,13,0.5574324324324325,0.777137941614798
datafly,14,0.5398648648648648,0.6607675111773472
datafly_shuffled,14,0.552027027027027,0.6166991759445954
mondrian,14,0.5587837837837838,0.7544252797989539
datafly,15,0.5466216216216216,0.6447932190760061
datafly_shuffled,15,0.5668918918918919,0.7008799421407907
mondrian,15,0.5763513513513514,0.728313754712019
datafly,16,0.5587837837837838,0.6876333245667864
datafly_shuffled,16,0.5905405405405405,0.6660283524736272
mondrian,16,0.5459459459459459,0.7431712252710324
datafly,17,0.5310810810810811,0.6905335904853744
datafly_shuffled,17,0.5378378378378378,0.6065747275065019
mondrian,17,0.5621621621621622,0.8096326086321265
datafly,18,0.5155405405405405,0.6103160340142018
datafly_shuffled,18,0.6331081081081081,0.695346972619152
mondrian,18,0.5628378378378378,0.7295922094620263
datafly,19,0.504054054054054,0.5467421320241956
datafly_shuffled,19,0.5918918918918918,0.6447667367990415
mondrian,19,0.5310810810810811,0.7691549048829666
datafly,20,0.5641891891891891,0.5687936500978932
datafly_shuffled,20,0.6006756756756757,0.6612825458052074
mondrian,20,0.5405405405405406,0.8150295140410858
datafly,21,0.5324324324324324,0.6588763113293008
datafly_shuffled,21,0.5527027027027027,0.6731182972443821
mondrian,21,0.5702702702702702,0.6705896963852606
datafly,22,0.5378378378378378,0.6510640396247918
datafly_shuffled,22,0.518918918918919,0.5742380409689957
mondrian,22,0.5763513513513514,0.6970390987989831
datafly,23,0.5398648648648648,0.7072265567926127
datafly_shuffled,23,0.5378378378378378,0.5563615908360363
mondrian,23,0.6094594594594595,0.7123476812483562
datafly,24,0.5513513513513514,0.6439421334852868
datafly_shuffled,24,0.6074324324324324,0.6722069416440197
mondrian,24,0.5412162162162162,0.7241752140498524
datafly,25,0.5074324324324324,0.5461421714736565
datafly_shuffled,25,0.5858108108108108,0.6510129014347915
mondrian,25,0.602027027027027,0.7783122936208762
datafly,26,0.5885135135135136,0.6309722100464626
datafly_shuffled,26,0.5993243243243244,0.618367559393355
mondrian,26,0.5466216216216216,0.7782575027030186
datafly,27,0.5513513513513514,0.6026544373338009
datafly_shuffled,27,0.5547297297297298,0.6615126676602087
mondrian,27,0.6222972972972973,0.7045984190993834
datafly,28,0.5452702702702703,0.5449422503725783
datafly_shuffled,28,0.552027027027027,0.6161996654101283
mondrian,28,0.5817567567567568,0.7573986002746851
datafly,29,0.5702702702702702,0.5930705926185675
datafly_shuffled,29,0.5898648648648649,0.6714873542561586
mondrian,29,0.5195945945945946,0.7632283539347186
datafly,30,0.5756756756756757,0.5998491423394992
datafly_shuffled,30,0.6040540540540541,0.6539770900908798
mondrian,30,0.6128378378378379,0.7812527395458929
datafly,31,0.6148648648648649,0.6188670699278221
datafly_shuffled,31,0.5425675675675675,0.6383297171327548
mondrian,31,0.5824324324324325,0.7297675403991701
datafly,32,0.5135135135135135,0.5592947313053388
datafly_shuffled,32,0.6033783783783784,0.693874923292715
mondrian,32,0.5702702702702702,0.7000434674615003
datafly,33,0.6432432432432432,0.6696591639636481
datafly_shuffled,33,0.5168918918918919,0.541206422956664
mondrian,33,0.5608108108108109,0.7237076648841354
datafly,34,0.5925675675675676,0.5676430408228865
datafly_shuffled,34,0.5831081081081081,0.6330104321907603
mondrian,34,0.5418918918918919,0.7478631542035592
datafly,35,0.5310810810810811,0.5217465152976242
datafly_shuffled,35,0.5608108108108109,0.6246283349405335
mondrian,35,0.6040540540540541,0.7182833640162474
datafly,36,0.5702702702702702,0.5060397855118203
datafly_shuffled,36,0.5986486486486486,0.6537040486835569
mondrian,36,0.5763513513513514,0.7585638204611205
datafly,37,0.602027027027027,0.7292963385055959
datafly_shuffled,37,0.5114864864864865,0.5797554863972415
mondrian,37,0.5560810810810811,0.7194814587533971
datafly,38,0.6195945945945946,0.6215874389994448
datafly_shuffled,38,0.55,0.6278993527366237
mondrian,38,0.5418918918918919,0.6908805996318049
datafly,39,0.5756756756756757,0.6120172920136758
datafly_shuffled,39,0.5641891891891891,0.6173174001344204
mondrian,39,0.5993243243243244,0.6789818386370943
datafly,40,0.577027027027027,0.6172260819379912
datafly_shuffled,40,0.5493243243243243,0.6258492592267906
mondrian,40,0.5547297297297298,0.7186267204348207
datafly,41,0.5472972972972973,0.7323217103532919
datafly_shuffled,41,0.6033783783783784,0.6549733716139213
mondrian,41,0.5385135135135135,0.5831233014815463
datafly,42,0.575,0.6972810920195203
datafly_shuffled,42,0.5385135135135135,0.5949480947371497
mondrian,42,0.552027027027027,0.6808228134771047
