algo,no,knn_pca_auroc,knn_pca_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly,1,0.4607751819058472,0.5452702702702703,0.5737494886180999,0.475,0.4600574208819146,0.4108108108108108,0.4631677186522895,0.4108108108108108
datafly_shuffled,1,0.4795657271850618,0.5027027027027027,0.4605258832295959,0.4452702702702703,0.3540278630080944,0.4689189189189189,0.3541812775780953,0.4689189189189189
mondrian,1,0.5746498860348909,0.5486486486486486,0.7650766342304431,0.6378378378378379,0.6866196925864235,0.6195945945945946,0.7545275561789544,0.6972972972972973
datafly,2,0.4999990868180357,0.4952702702702703,0.6269542094035827,0.6195945945945946,0.4480682548727389,0.4141891891891892,0.45997706086905704,0.4243243243243243
datafly_shuffled,2,0.5626114081996435,0.5662162162162162,0.4788023070629146,0.4864864864864865,0.5144301013997252,0.5452702702702703,0.5132228748429326,0.5452702702702703
mondrian,2,0.6758888913240408,0.625,0.6806292189006751,0.5445945945945946,0.7323554980859707,0.6817567567567567,0.7321655562373981,0.6587837837837838
datafly,3,0.4417189006750241,0.4425675675675675,0.5561497326203209,0.5033783783783784,0.4995342771982117,0.4621621621621622,0.4994292612723181,0.4621621621621622
datafly_shuffled,3,0.6206231188451536,0.5695945945945946,0.5693607360977178,0.577027027027027,0.5925089857105287,0.5817567567567568,0.5925290757137429,0.5817567567567568
mondrian,3,0.6440827635077875,0.606081081081081,0.5830995587504748,0.5675675675675675,0.6793525905145963,0.6385135135135135,0.7850661874287719,0.7236486486486486
datafly,4,0.486016444580813,0.4702702702702703,0.6521297229771192,0.5277027027027027,0.6843157344905175,0.6195945945945946,0.6583621898834049,0.5013513513513513
datafly_shuffled,4,0.6177402033838871,0.5932432432432433,0.6239379693755296,0.5966216216216216,0.6472359808304842,0.6378378378378379,0.6472012799158412,0.6364864864864865
mondrian,4,0.711449110195494,0.6547297297297298,0.6371033137547121,0.5925675675675676,0.7573474620846851,0.6871621621621622,0.8438440577423219,0.7148648648648649
datafly,5,0.6406428070483036,0.6378378378378379,0.5648660544694778,0.5601351351351351,0.4946743227842552,0.45,0.4948012550772917,0.45
datafly_shuffled,5,0.4847325107390199,0.5290540540540539,0.6612067517021712,0.5054054054054054,0.5678530726746734,0.5189189189189191,0.5684676441366412,0.5189189189189191
