algo,no,knn_pca_auroc,knn_pca_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly,21,0.6318342538207533,0.5277027027027027,0.5647573858157272,0.4905405405405405,0.6526182753280149,0.6094594594594595,0.6527397285292657,0.6094594594594595
datafly_shuffled,21,0.5561643435317495,0.5763513513513514,0.6198953128196137,0.4912162162162162,0.6374466701732853,0.6013513513513513,0.6376156088366792,0.6013513513513513
mondrian,21,0.6578855088980451,0.6087837837837838,0.6543989801583823,0.5837837837837838,0.6659580374623768,0.6216216216216216,0.7698087431693991,0.7216216216216216
datafly,22,0.5816932585254667,0.5804054054054054,0.6351235352561293,0.5040540540540539,0.5420474635457759,0.4736486486486486,0.5493364819847462,0.4756756756756757
datafly_shuffled,22,0.5721833815493411,0.5466216216216216,0.6359755340288127,0.5878378378378378,0.5095546228923761,0.5601351351351351,0.5098641915782707,0.5601351351351351
mondrian,22,0.6435796002454632,0.6033783783783784,0.6108475059174191,0.552027027027027,0.6363508518161363,0.5905405405405405,0.7959129628006195,0.7283783783783784
datafly,23,0.5380979515502178,0.4459459459459459,0.5444810934806114,0.5054054054054054,0.7308724905759622,0.6709459459459459,0.7296141258291692,0.6777027027027027
datafly_shuffled,23,0.5849094854036995,0.5533783783783783,0.4984411983869553,0.4851351351351351,0.5353364892902021,0.5432432432432432,0.5365437158469946,0.5432432432432432
mondrian,23,0.6001167046550364,0.5817567567567568,0.550475219894217,0.4689189189189189,0.6356970135297039,0.6,0.7622457701411414,0.720945945945946
datafly,24,0.5944714137517899,0.5891891891891892,0.6205984629321178,0.6304054054054054,0.6364796104731013,0.5689189189189189,0.6365344013909588,0.5689189189189189
datafly_shuffled,24,0.583269410595833,0.5898648648648649,0.6809561380438912,0.6459459459459459,0.6491984088717454,0.6574324324324324,0.6496696107653195,0.6574324324324324
mondrian,24,0.5616845285058882,0.5459459459459459,0.6683542269366763,0.5027027027027027,0.6639033780427224,0.6263513513513513,0.7753170567780019,0.7202702702702702
