algo,no,avg_eq_size,ambiguity,granularity,dse
datafly,1,0.07692307692307693,0.11801317567567567,0.046555867709815076,0.11192792077671641
datafly_shuffled,1,0.25,0.2943648648648649,0.0481430654338549,0.1253442402976458
mondrian,1,0.0008695652173913044,0.0009069823442756333,0.03691682076813656,0.1280217994657133
datafly,2,0.07692307692307693,0.11102128378378377,0.04648790896159317,0.11400656514005544
datafly_shuffled,2,0.2,0.2683783783783783,0.04807467994310099,0.11642997184652407
mondrian,2,0.0005076142131979697,0.0005318435852434857,0.03575144025604551,0.12560433944267219
datafly,3,0.2,0.38204054054054054,0.048373790896159306,0.11444573452218681
datafly_shuffled,3,0.05,0.06139358108108108,0.04604098506401137,0.11745276922399277
mondrian,3,0.0006849315068493151,0.0007088249649086741,0.03592594238975817,0.12498388514286651
datafly,4,0.052631578947368425,0.045215202702702705,0.04585380512091038,0.11181212871936742
datafly_shuffled,4,0.0125,0.017529493243243245,0.04415497866287339,0.11927563261743075
mondrian,4,0.00032030749519538755,0.00032713588858236805,0.03419329658605974,0.11906282204371478
datafly,5,0.25,0.3390067567567568,0.048260544096728294,0.11309405233832713
datafly_shuffled,5,0.0625,0.10805270270270269,0.046477773826458034,0.11733323865227552
mondrian,5,0.0006825938566552901,0.0007150514387297293,0.03602839615931721,0.12514871431509828
datafly,6,0.25,0.26118243243243244,0.048055743243243236,0.11346450571758689
datafly_shuffled,6,0.05263157894736842,0.07886824324324324,0.046245376955903264,0.11656925170578517
mondrian,6,0.0005035246727089627,0.0005144635465353651,0.035048595305832146,0.12717793974165809
datafly,7,0.06666666666666667,0.07004493243243244,0.04612951635846372,0.11404955822347922
datafly_shuffled,7,0.04000000000000001,0.06663344594594596,0.04614027382645803,0.12212115755288513
mondrian,7,0.00032206119162640903,0.00033118455743668133,0.03430748577524893,0.12391762686487064
datafly,8,0.0625,0.09094121621621622,0.046328058321479376,0.11407711408286175
datafly_shuffled,8,0.04761904761904762,0.06290033783783783,0.04605979729729729,0.11664311647613342
mondrian,8,0.0006858710562414266,0.0007071039769037887,0.03606415362731152,0.12507588519811377
datafly,9,0.0625,0.05737533783783784,0.045997706258890464,0.11310388430961353
datafly_shuffled,9,0.05555555555555556,0.09124256756756756,0.04650565433854907,0.11886882083355893
mondrian,9,0.0003224766204450177,0.00033097354551360144,0.034485793029871974,0.11947709365011452
datafly,10,0.2,0.1712027027027027,0.04781895448079657,0.1141248393696282
datafly_shuffled,10,0.2,0.24074324324324325,0.048001955903271686,0.11560275312862116
mondrian,10,0.00032020493115593983,0.00033061716808692454,0.03442153271692745,0.12786206447322318
datafly,11,0.07692307692307693,0.14304831081081085,0.046746888335704125,0.11536446276907053
datafly_shuffled,11,0.010101010101010102,0.012601554054054054,0.043937820056899,0.12415333323172476
mondrian,11,0.0003208213025344883,0.0003312052084588691,0.03483874466571834,0.11793793532576058
datafly,12,0.25,0.21788513513513513,0.04794180298719772,0.1135899559162266
