algo,no,auroc,lr_acc
datafly,1,0.46005742088191465,0.41081081081081083
datafly_shuffled,1,0.3540278630080944,0.4689189189189189
mondrian,1,0.6866196925864235,0.6195945945945946
datafly,2,0.44806825487273894,0.4141891891891892
datafly_shuffled,2,0.5144301013997252,0.5452702702702703
mondrian,2,0.7323554980859707,0.6817567567567567
datafly,3,0.49953427719821164,0.46216216216216216
datafly_shuffled,3,0.5925089857105287,0.5817567567567568
mondrian,3,0.6793525905145963,0.6385135135135135
datafly,4,0.6843157344905175,0.6195945945945946
datafly_shuffled,4,0.6472359808304842,0.6378378378378379
mondrian,4,0.757347462084685,0.6871621621621622
datafly,5,0.4946743227842552,0.45
datafly_shuffled,5,0.5678530726746734,0.518918918918919
mondrian,5,0.7095551708015546,0.6709459459459459
datafly,6,0.6113570614534934,0.6148648648648649
datafly_shuffled,6,0.6512731582946145,0.6412162162162162
mondrian,6,0.7340412319920516,0.6966216216216217
datafly,7,0.6428581864936735,0.6135135135135135
datafly_shuffled,7,0.5055731495280676,0.5148648648648648
mondrian,7,0.7692279594401099,0.7108108108108108
datafly,8,0.5907474577014113,0.4912162162162162
datafly_shuffled,8,0.5748663101604279,0.6243243243243243
mondrian,8,0.7550407644428859,0.6993243243243243
datafly,9,0.5714336591566581,0.4885135135135135
datafly_shuffled,9,0.5964037067882295,0.5756756756756757
mondrian,9,0.7833694953391194,0.7195945945945946
datafly,10,0.6664840302738084,0.6344594594594595
datafly_shuffled,10,0.6370284328336402,0.5398648648648648
mondrian,10,0.7703785687151166,0.7087837837837838
datafly,11,0.5525737120481575,0.4554054054054054
datafly_shuffled,11,0.6056186259898891,0.6229729729729729
mondrian,11,0.6939105373893224,0.643918918918919
datafly,12,0.6533059013471261,0.647972972972973
datafly_shuffled,12,0.6558956853978551,0.625
mondrian,12,0.7099040063119137,0.6567567567567567
datafly,13,0.5684028082171765,0.5141891891891892
datafly_shuffled,13,0.4955920706583677,0.49527027027027026
mondrian,13,0.6981897080739896,0.6560810810810811
datafly,14,0.5837168697583355,0.504054054054054
datafly_shuffled,14,0.5846967140060197,0.5540540540540541
mondrian,14,0.7770210543233687,0.7216216216216216
datafly,15,0.5808357806609977,0.504054054054054
datafly_shuffled,15,0.6897372958125129,0.6581081081081082
mondrian,15,0.6636568189123638,0.6189189189189189
datafly,16,0.7191947196166097,0.6385135135135135
datafly_shuffled,16,0.6244849653721398,0.6101351351351352
mondrian,16,0.7052613892054587,0.6412162162162162
datafly,17,0.7091259752783378,0.6547297297297298
datafly_shuffled,17,0.5938906300225009,0.5621621621621622
mondrian,17,0.7657669997954473,0.7135135135135136
datafly,18,0.5738526781800648,0.5574324324324325
datafly_shuffled,18,0.6968308933111247,0.6783783783783783
mondrian,18,0.6942666783553958,0.6432432432432432
datafly,19,0.4335532275503346,0.40540540540540543
datafly_shuffled,19,0.5784313725490197,0.6236486486486487
mondrian,19,0.6695669325852547,0.6425675675675676
datafly,20,0.48093458694953395,0.44391891891891894
datafly_shuffled,20,0.6303284167616376,0.6283783783783784
mondrian,20,0.786275240349493,0.7391891891891892
datafly,21,0.6526182753280149,0.6094594594594595
datafly_shuffled,21,0.6374466701732853,0.6013513513513513
mondrian,21,0.6659580374623768,0.6216216216216216
datafly,22,0.5420474635457759,0.47364864864864864
datafly_shuffled,22,0.5095546228923761,0.5601351351351351
mondrian,22,0.6363508518161363,0.5905405405405405
datafly,23,0.7308724905759622,0.6709459459459459
datafly_shuffled,23,0.5353364892902021,0.5432432432432432
