algo,no,precision,dm,cm,entropy,discern,ilm,acc
datafly,160,0.016666666666666607,0.0325,0.4458108108108108,0.9880446267664263,0.7355999634769905,0.04832594238975818,0.5054054054054054
datafly_shuffled,160,0.03331981981982013,0.0825,0.38351351351351354,0.9524055494026779,0.18104097881665449,0.04817046586059743,0.5033783783783784
mondrian,160,0.3999702830360724,0.5675,0.28337837837837837,0.8343552736966744,0.000908254200146092,0.04592457325746798,0.4945945945945946
datafly,161,0.03331981981981991,0.09,0.31810810810810813,0.9507833593180085,0.14995215485756025,0.04580714793741108,0.677027027027027
datafly_shuffled,161,0.03333333333333355,0.06,0.35783783783783785,0.9385386645954621,0.08941921110299489,0.04857347083926033,0.5033783783783784
mondrian,161,0.4193623846518584,0.615,0.2414864864864865,0.8208289417942481,0.0005255295836376917,0.046582201280227664,0.4945945945945946
datafly,162,0.041668918918918885,0.08,0.352972972972973,0.9801437080283741,0.6439283418553688,0.04653333926031296,0.5054054054054054
datafly_shuffled,162,0.048801801801801714,0.0675,0.377027027027027,0.9458125082174134,0.13314072315558803,0.04818218349928876,0.5054054054054054
mondrian,162,0.43308928766823496,0.6125,0.23067567567567568,0.80607180359967,0.0003355734112490869,0.04427489331436709,0.4945945945945946
datafly,163,0.033333333333333215,0.0625,0.3366216216216216,0.9538566834479851,0.18060343316289262,0.045829427453769556,0.5662162162162162
datafly_shuffled,163,0.04622072072072081,0.07,0.3922972972972973,0.9400767559372849,0.1062036523009496,0.047684797297297306,0.525
mondrian,163,0.43355067111646073,0.665,0.2154054054054054,0.8086561708087454,0.0003368882395909423,0.0453240220483641,0.4945945945945946
datafly,164,0.033324324324324084,0.085,0.3314864864864865,0.9645464477513276,0.3058036523009496,0.04605314722617352,0.5054054054054054
datafly_shuffled,164,0.03331981981981991,0.085,0.40554054054054056,0.9448701322985608,0.10846833455076699,0.04825627667140825,0.5371621621621622
mondrian,164,0.42302918809497736,0.6375,0.24,0.8201210586202295,0.0005300219138056975,0.04668696657183492,0.4945945945945946
datafly,165,0.033324324324324306,0.0825,0.3659459459459459,0.9657954692686275,0.31510617238860483,0.04626701635846372,0.5054054054054054
datafly_shuffled,165,0.04479842342342333,0.055,0.372972972972973,0.9347201001953854,0.0793299853907962,0.04797291963015646,0.5263513513513514
mondrian,165,0.41606644600065656,0.585,0.2495945945945946,0.8214890108297745,0.0005213659605551497,0.04772777382645801,0.4945945945945946
datafly,166,0.03333333333333355,0.06,0.3195945945945946,0.9528086114169431,0.19561731190650108,0.04574073613086769,0.6222972972972973
datafly_shuffled,166,0.04881981981981964,0.0925,0.42486486486486486,0.943273728358477,0.10830058436815193,0.047972226173541965,0.5709459459459459
mondrian,166,0.4378969617390669,0.64,0.20337837837837838,0.8086715848366048,0.00033513513513513515,0.04668897581792317,0.4945945945945946
datafly,167,0.033324324324324084,0.085,0.3112162162162162,0.9687684112140617,0.41690208181154126,0.046090469416785206,0.5054054054054054
datafly_shuffled,167,0.03333333333333344,0.065,0.3774324324324324,0.9479677607913625,0.16537041636230826,0.04839779516358466,0.5918918918918918
mondrian,167,0.44208336068862397,0.6525,0.2195945945945946,0.8082711897975967,0.0003334915997078159,0.04596490042674253,0.4945945945945946
datafly,168,0.04190427927927931,0.0875,0.36527027027027026,0.9699963449962816,0.39517257121986854,0.04640556543385491,0.5054054054054054
datafly_shuffled,168,0.033315315315315286,0.085,0.4262162162162162,0.9427837373060425,0.09236665449233017,0.0487108108108108,0.5540540540540541
mondrian,168,0.43627031586242127,0.65,0.20972972972972972,0.8094287514141002,0.0003348064280496713,0.0460660561877667,0.4945945945945946
datafly,169,0.03333333333333355,0.0675,0.37864864864864867,0.9543077590789273,0.1967901022644266,0.04605558321479375,0.5054054054054054
datafly_shuffled,169,0.03333333333333344,0.055,0.3358108108108108,0.9482945091344518,0.18372118334550766,0.048587357752489346,0.5054054054054054
mondrian,169,0.43899417332312063,0.6325,0.23094594594594595,0.808294165826814,0.00033579254930606283,0.046381241109530506,0.4945945945945946
datafly,170,0.033328828828828594,0.0875,0.34513513513513516,0.9660026916698521,0.36105840029218406,0.04613929587482218,0.5054054054054054
datafly_shuffled,170,0.04179504504504494,0.06,0.36567567567567566,0.9474723172335043,0.1481418918918919,0.04894324324324324,0.5054054054054054
mondrian,170,0.41334826932195334,0.62,0.26135135135135135,0.8219801142906501,0.0005256756756756756,0.04650503200568991,0.4945945945945946
datafly,171,0.04166103603603588,0.0875,0.3298648648648649,0.9526694873974592,0.16992779401022645,0.046093349928876245,0.65
datafly_shuffled,171,0.03333333333333344,0.0575,0.3932432432432432,0.9456600497905598,0.13148783783783785,0.04824669274537696,0.5054054054054054
mondrian,171,0.4194550826129776,0.61,0.24797297297297297,0.8200140631354045,0.0005235938641344047,0.046396266002845056,0.4945945945945946
datafly,172,0.04242004504504515,0.0675,0.3316216216216216,0.9684958155348277,0.4166089481373265,0.0462157361308677,0.5054054054054054
datafly_shuffled,172,0.04835247747747762,0.06,0.3541891891891892,0.9293273724755381,0.0545418188458729,0.047975106685633,0.5506756756756757
mondrian,172,0.42353159536054275,0.585,0.23108108108108108,0.8190455943683863,0.0005264061358655953,0.04424747510668566,0.4945945945945946
datafly,173,0.033328828828828816,0.09,0.34337837837837837,0.9569931069943144,0.22299777209642074,0.04602713371266002,0.5054054054054054
datafly_shuffled,173,0.04999324324324306,0.1275,0.34378378378378377,0.9288598006189738,0.07248710737764792,0.047193527738264594,0.5054054054054054
mondrian,173,0.4304919848998796,0.645,0.21432432432432433,0.8089489762992992,0.00033721694667640615,0.045251458036984354,0.4945945945945946
datafly,174,0.04462837837837841,0.0875,0.41135135135135137,0.9657415474823495,0.3753588750913075,0.046239847083926026,0.5054054054054054
datafly_shuffled,174,0.04198423423423436,0.06,0.34243243243243243,0.9463884386057859,0.13172238860482105,0.04887914295874823,0.5054054054054054
mondrian,174,0.4350620873910347,0.6375,0.2133783783783784,0.808066634539848,0.0003350255661066472,0.045804711948791,0.4945945945945946
datafly,175,0.033333333333333215,0.065,0.3033783783783784,0.9537294161733814,0.20285390796201608,0.045840985064011366,0.6635135135135135
datafly_shuffled,175,0.033333333333333215,0.065,0.40716216216216217,0.9615467352553178,0.30048601168736305,0.04887398648648648,0.5054054054054054
mondrian,175,0.4180991902834007,0.6225,0.25864864864864867,0.8200546245420219,0.0005233382030679328,0.04701628733997148,0.4945945945945946
datafly,176,0.016666666666666607,0.0325,0.4295945945945946,0.9791972328812351,0.45811895544192843,0.04801598506401138,0.5054054054054054
datafly_shuffled,176,0.04999324324324339,0.13,0.3422972972972973,0.9028187226261606,0.021534696859021183,0.04691682076813659,0.5912162162162162
mondrian,176,0.3986183936973411,0.5525,0.3062162162162162,0.8339781130410151,0.000902118334550767,0.0464301742532005,0.4945945945945946
