algo,no,precision,dm,cm,entropy,discern,ilm,auroc,hellinger,bivariate_corr,lr_acc
datafly,10,0.01666666666666661,0.035,0.35283783783783784,0.970429428855222,0.3119584733382031,0.04781895448079659,0.6610049384880629,0.4957945036047083,0.0,0.6344594594594595
datafly,116,0.033328828828828934,0.08,0.415945945945946,0.9689205242377916,0.3443304236669101,0.04643783783783785,0.5129562257093598,0.4976367379802792,0.12275587259456998,0.5405405405405406
mondrian,129,0.41274594229857386,0.595,0.2579729729729729,0.8187240213280303,0.0005283418553688824,0.04671913229018485,0.7393596037520821,0.5007546766616364,0.0043588445759984214,0.5898648648648649
mondrian,48,0.39794051136156383,0.6,0.3082432432432433,0.8343975979487182,0.0009097516435354273,0.04640110241820773,0.7505040764442885,0.4950115188780355,0.005070084364416689,0.5695945945945946
mondrian,25,0.4169090527774736,0.595,0.26,0.8212533168822937,0.0005319576333089847,0.04645944167852061,0.7783122936208762,0.4990572320182462,0.00484890120984635,0.602027027027027
datafly_shuffled,173,0.04999324324324306,0.1275,0.34378378378378377,0.9288598006189738,0.07248710737764792,0.047193527738264594,0.6889775284182227,0.4957945036047083,0.24613173604220004,0.5682432432432433
datafly_shuffled,47,0.03333333333333344,0.0675,0.3960810810810811,0.9479582186365978,0.1467243608473338,0.04848867354196302,0.5977342129102012,0.4957945036047083,0.001471278897783077,0.5736486486486486
datafly,134,0.03333333333333298,0.0625,0.3385135135135135,0.9565487150521996,0.22024755295836376,0.046137215504978665,0.5704538149089741,0.4940209269021612,0.0009470630367746748,0.5635135135135135
mondrian,77,0.41681929095087,0.6025,0.2466216216216217,0.8204480059634641,0.0005254200146092038,0.046370892603129515,0.7509223137839338,0.5028419972686224,0.005254857904092792,0.6148648648648649
datafly_shuffled,162,0.048801801801801714,0.0675,0.377027027027027,0.9458125082174134,0.13314072315558806,0.04818218349928876,0.6322433593407557,0.4966454497753235,0.002424764177365153,0.5777027027027027
mondrian,131,0.4077025659262501,0.575,0.27864864864864863,0.8279517916096174,0.0007111395178962746,0.04667451991465151,0.6373261301539991,0.4968006266842863,0.0045633176112972644,0.527027027027027
datafly_shuffled,120,0.03333333333333344,0.0625,0.3591891891891892,0.9414969987059704,0.09930058436815194,0.048224253200568994,0.685811526548026,0.4957945036047083,0.0014807075981845448,0.5790540540540541
mondrian,125,0.4356639676113361,0.6475,0.21121621621621625,0.8091235802165155,0.0003319576333089846,0.04657528449502138,0.7898165600070132,0.4959406807574746,0.005060081485884818,0.5439189189189191
mondrian,165,0.41606644600065656,0.585,0.2495945945945946,0.8214890108297745,0.0005213659605551497,0.04772777382645802,0.778387174541948,0.497477754171876,0.0046090553055991475,0.5804054054054054
mondrian,175,0.4180991902834007,0.6225,0.2586486486486487,0.8200546245420219,0.0005233382030679328,0.04701628733997148,0.7350384266970573,0.4994138312044864,0.004686460250827622,0.6108108108108108
datafly_shuffled,145,0.043342342342342466,0.055,0.39054054054054055,0.9351767871756872,0.0767127465303141,0.04795552987197725,0.6317822024487888,0.4957945036047083,0.001815969625155036,0.5527027027027027
datafly,172,0.04242004504504515,0.0675,0.3316216216216216,0.9684958155348276,0.4166089481373265,0.0462157361308677,0.7000535124631074,0.4976367379802792,0.0010265546866444165,0.6027027027027027
datafly,190,0.01666666666666694,0.0275,0.38297297297297295,0.9810319818609792,0.5283392622352082,0.04798472617354197,0.6225124923292715,0.4957945036047083,0.0,0.5459459459459459
mondrian,30,0.4392710088631142,0.6425,0.2108108108108108,0.807381328239135,0.00033513513513513515,0.04659228307254615,0.7812527395458929,0.4944809802449901,0.008102028193184986,0.6128378378378379
datafly,192,0.02501689189189193,0.035,0.4597297297297298,0.9844726411079838,0.6367572680788897,0.04845657894736841,0.5572610750708629,0.4957945036047083,0.0,0.5310810810810811
datafly_shuffled,175,0.033333333333333215,0.065,0.40716216216216217,0.9615467352553178,0.30048601168736305,0.048873986486486484,0.4817062257093598,0.4976367379802792,0.0016069754608568519,0.5168918918918919
datafly_shuffled,81,0.03333333333333344,0.07,0.4243243243243243,0.9601747158791614,0.2789034696859021,0.048310988620199176,0.5773108982788346,0.4940209269021612,0.0016966310560289411,0.5344594594594595
datafly,67,0.03333333333333344,0.06,0.3341891891891892,0.9619653933904572,0.2756335281227173,0.04604374110953058,0.6985440226761345,0.4940209269021612,0.002725382613292202,0.5689189189189189
mondrian,180,0.4412121220410694,0.6525,0.2154054054054054,0.809688423638696,0.00033524470416362314,0.046376244665718304,0.7515469302475088,0.4947049626595729,0.005403717590570766,0.575
mondrian,98,0.4366484298063247,0.645,0.19864864864864865,0.8073772308241387,0.00033228634039444846,0.04650825035561877,0.7670874609158119,0.4927519630341893,0.005041905224215421,0.5641891891891891
datafly,115,0.033333333333333215,0.0625,0.3620270270270271,0.9640814482050676,0.3332592403214025,0.046135757467994316,0.6110675827708132,0.4957945036047083,0.0016076245115009993,0.6101351351351352
datafly_shuffled,43,0.0416576576576575,0.0875,0.3735135135135135,0.9421867815107432,0.10593071585098612,0.04903673541963016,0.6540419260103445,0.4976367379802792,0.09792941196170046,0.5540540540540541
datafly_shuffled,11,0.05969481981981972,0.135,0.3339189189189189,0.9043259851151946,0.021467129291453616,0.04692654694167851,0.6972655679261273,0.4950122151071168,0.19578003325329105,0.6331081081081081
datafly,188,0.01666666666666661,0.03,0.4745945945945946,0.9845555366003929,0.6038254565376187,0.04828349928876245,0.5303432103094592,0.4976367379802792,0.0,0.5155405405405405
mondrian,80,0.4118056771346245,0.595,0.2541891891891892,0.8198427144246699,0.0005253104455807158,0.04614512802275952,0.7544855498085971,0.5025812577254072,0.0042361469259026676,0.5864864864864865
mondrian,21,0.4180385344859029,0.5925,0.2483783783783784,0.8203021296564178,0.0005196128560993426,0.047346461593172136,0.6705896963852606,0.4938965653128853,0.0072979960382480655,0.5702702702702702
datafly,6,0.01666666666666661,0.03,0.3593243243243243,0.9838803052874416,0.6239429145361578,0.048055743243243236,0.6185355848747844,0.4976367379802792,0.0,0.6148648648648649
datafly,81,0.04166103603603588,0.085,0.3595945945945946,0.9590278668864842,0.2411463842220599,0.045974822190611664,0.6729146576663453,0.4957945036047083,0.12371421421191901,0.5695945945945946
datafly_shuffled,126,0.04197072072072083,0.09,0.4177027027027027,0.9381218298797966,0.08761289262235207,0.04882480440967284,0.5853067195581659,0.4957945036047083,0.09766964987971126,0.5756756756756757
mondrian,27,0.4087382554619395,0.6025,0.2745945945945946,0.8290699928998552,0.0007206355003652301,0.046798257467994285,0.7045984190993834,0.497615300060064,0.004436822281413178,0.6222972972972973
datafly,174,0.04462837837837842,0.0875,0.41135135135135137,0.9657415474823496,0.3753588750913075,0.046239847083926026,0.5627063791239297,0.4957945036047083,0.12338356365466853,0.5466216216216216
