algo,no,precision,dm,cm,entropy,discern,ilm,auroc,hellinger,bivariate_corr,lr_acc
mondrian,137,0.4135905095378778,0.6025,0.2594594594594595,0.8209173445161695,0.0005211468224981738,0.04673435277382653,0.6924476198825282,0.49804726107709296,0.004400566808631614,0.5533783783783783
datafly,104,0.016666666666666385,0.03,0.415945945945946,0.9768289600381824,0.4237102994886779,0.04797329302987198,0.5672823339469917,0.4957945036047083,1.1102230246251563e-16,0.575
datafly,179,0.03333333333333344,0.065,0.3836486486486487,0.9659631798412658,0.2644187728268809,0.04642315078236132,0.6519534788580111,0.4940209269021612,0.0015012865967520982,0.5236486486486487
mondrian,169,0.43899417332312063,0.6325,0.23094594594594595,0.808294165826814,0.00033579254930606283,0.046381241109530506,0.743688086262821,0.4915061333845514,0.004758199053379986,0.5912162162162162
datafly_shuffled,169,0.03333333333333344,0.055,0.3358108108108108,0.9482945091344518,0.1837211833455077,0.04858735775248935,0.6998051269688204,0.4957945036047083,0.0012925337793276061,0.5513513513513514
datafly,46,0.03331981981981992,0.08,0.31594594594594594,0.9732526863367746,0.4673257121986852,0.046553253911806536,0.5525992811431577,0.4976367379802792,0.12381683681503355,0.5378378378378378
mondrian,108,0.4384403928219718,0.665,0.2033783783783784,0.8077354465963519,0.00033436815193571947,0.04574308321479377,0.7464550276146226,0.4917694763356275,0.004620560283350292,0.5310810810810811
mondrian,34,0.43015856950067466,0.6225,0.2327027027027027,0.8079524513689534,0.00033425858290723164,0.04653433499288765,0.7478631542035592,0.495832264934288,0.0046911356822074745,0.5418918918918919
mondrian,138,0.4329175876281139,0.645,0.22594594594594594,0.8079355757365859,0.00033579254930606283,0.046569594594594574,0.7496913444960698,0.4956954169110263,0.004189532978507982,0.5804054054054054
mondrian,94,0.4107357661305031,0.5825,0.2447297297297297,0.8283497680590601,0.0007116508400292184,0.046118225462304506,0.7066786476140382,0.4900478369382458,0.006273752842721261,0.6067567567567568
